Dereplication_Type_Comparison	Evolutionary_Statistic	Homolog_Group	Value_1	Value_2
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2167	NA	-1.1601861673150655
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2191	-1.1388896484044373	-1.0981500366173256
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2177	-1.0838236885666004	-1.0407227829994419
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2165	-0.8628333151072194	-0.8661867137884872
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2194	-1.3801070200681071	-1.3236383730720749
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2179	-1.1207814682753718	-1.1237056332989552
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2183	-1.012189789417187	-1.3934677330266179
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2172	-0.9811127324737489	-0.9931760711696744
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2180	-1.1022691137379055	-1.05831950369526
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2170	-0.10642457138387523	-0.10680399336239868
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2169	-0.09447158602954231	-0.09302697749419651
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2184	-1.2748454097590076	-1.2748454097590076
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2198	-1.2395652795973804	-1.2140154863024277
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2190	-1.0395467896284574	-1.0017621936979366
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2195	-1.1890446474238259	-1.1275354759310545
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2176	-1.3102313430556074	-1.2349945072365724
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2199	-1.118222088194905	-1.087843310503522
GC Drep vs. GW Drep	5. Proportion Seg. Sites (log10; PC of 1e-5)	EF2189	-0.898092218731013	-0.8694492317790392
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2178	-1.8109026942372848	-1.7814054463015319
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2192	-1.9927407580028746	-1.9655139254755838
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2181	-1.8470214009594268	-1.8260295619953366
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2193	-2.002327835525412	-1.9768911076820992
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2164	-0.5172963687852762	-0.5172088158709913
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2171	-0.8263608179775689	-0.8962713979677626
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2174	-0.7884644944976652	NA
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2182	-1.8223457803791847	-1.7880024076879728
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2196	-1.7594999495857475	-1.8164260857819816
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2197	-1.9057383125869258	-1.932265259230699
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2166	-1.6247202891296144	-1.654175210029115
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2200	-1.8394298552603283	-1.8305128407137905
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2168	-0.5309573464121384	-0.5942650561142743
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2167	NA	-1.5558487837294386
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2191	-2.0021140711332306	-1.9505170222055555
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2177	-1.8182321058935142	-1.7861563920733807
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2165	-1.457743535356533	-1.4598819291298675
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2194	-2.0926147621791444	-2.111666928955418
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2179	-1.834451566438879	-1.8427883132085332
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2183	-2.217619261052575	-2.128314419339573
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2172	-1.525472219523506	-1.569097588947986
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2180	-1.8319997942355655	-1.814395269320629
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2170	-0.38606826205796374	-0.39839783125194905
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2169	-0.3269383457889702	-0.3323643689743443
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2184	-2.0331693890160705	-1.9570462688024437
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2198	-2.0358647344645417	-1.994864206680927
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2190	-1.7666849907547435	-1.6962353675510504
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2195	-1.8885584944068914	-1.8721090950783714
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2176	-1.9792395819622282	-1.9048075565759848
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2199	-1.8767451891465519	-1.8947758966081856
GC Drep vs. GW Drep	2. Entropy (log10 PC of 1e-5)	EF2189	-1.6080379599469703	-1.4903156244203173
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2178	0.996481967	0.99486183
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2192	1.00329578	1.002953543
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2181	0.996820991	0.996649535
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2193	1.002843897	1.002058218
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2164	0.579852267	0.552751976
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2171	0.989750695	0.993453113
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2174	0.7273608	NA
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2182	1.003412969	1.003058104
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2196	0.989292747	0.991849225
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2197	1.000362947	1.000436381
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2166	0.992550744	0.99696346
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2200	1	1.000701754
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2168	0.549268172	0.55342346
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2167	NA	0.990343382
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2191	1.00001941	0.999955763
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2177	1.000775707	1.001172156
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2165	0.985428319	0.986945646
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2194	1.003518068	1.003533569
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2179	1	1
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2183	1.003539834	1.003533569
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2172	0.99801673	0.998527414
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2180	0.99700139	0.997455352
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2170	0.526571972	0.533123904
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2169	0.364517292	0.361864622
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2184	1.003330512	1.003434167
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2198	1.003311456	1.003322259
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2190	0.995193151	0.995085891
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2195	0.99899992	0.998700768
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2176	0.999758979	0.999563773
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2199	1.002932551	1.002590674
GC Drep vs. GW Drep	3. Median BetaRDgc	EF2189	0.993303422	0.977604658
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2178	1.00486618	1.005194805
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2192	1.010443864	1.009132326
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2181	1.003057376	1.003058104
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2193	1.008486563	1.006410256
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2164	1.00255997	1.003367612
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2171	1.004424779	1.004757721
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2174	1.001595301	NA
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2182	1.008486563	1.006708136
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2196	1.006134969	1.005194805
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2197	1.008486563	1.005813953
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2166	1.005291005	1.005850319
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2200	1.008203445	1.006410256
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2168	1.004547348	1.00444299
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2167	NA	1.003894854
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2191	1.007756102	1.005641749
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2177	1.008203445	1.008203445
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2165	1.004504505	1.003623188
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2194	1.008486563	1.006976744
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2179	1.005411909	1.006055703
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2183	1.010443864	1.009199987
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2172	1.008612328	1.009132326
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2180	1.005375385	1.005375385
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2170	1.005078548	1.005850319
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2169	1.004547348	1.004914477
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2184	1.010443864	1.009199987
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2198	1.008486563	1.006410256
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2190	1.008	1.007194245
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2195	1.006681959	1.006557864
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2176	1.006681959	1.006557864
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2199	1.010443864	1.009132326
GC Drep vs. GW Drep	4. Max BetaRDgc	EF2189	1.007194245	1.005641749
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2178	38	44
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2192	27	32
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2181	111	130
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2193	12	12
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2164	213	232
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2171	58	62
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2174	315	NA
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2182	43	50
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2196	22	19
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2197	15	15
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2166	41	41
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2200	23	24
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2168	74	78
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2167	NA	20
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2191	26	28
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2177	34	37
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2165	70	66
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2194	21	23
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2179	67	63
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2183	15	13
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2172	24	22
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2180	68	76
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2170	168	161
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2169	210	217
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2184	6	9
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2198	36	36
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2190	31	26
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2195	16	25
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2176	15	20
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2199	22	27
GC Drep vs. GW Drep	7. FUBAR Sel. Sites	EF2189	9	12
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2178	-2.087405603	-2.215139075
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2192	-2.775745895	-2.935383556
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2181	-2.196452361	-2.251650468
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2193	-2.636606598	-2.187263565
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2164	-3.056444341	-2.866282616
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2171	-2.790574573	-2.831812791
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2174	-2.354899023	NA
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2182	-3.257685143	-3.146036015
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2196	-1.371678022	-1.292033578
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2197	-1.93772289	-2.094175236
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2166	-3.774688752	-3.395515501
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2200	-2.709866541	-2.715940361
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2168	-2.805098154	-3.877685693
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2167	NA	-2.917474304
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2191	-2.475096263	-2.476650743
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2177	-2.365361156	-2.306054008
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2165	-2.08317742	-2.12151104
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2194	-3.057610163	-2.940166094
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2179	-2.853013339	-2.845113143
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2183	-2.653936318	-2.83691332
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2172	-3.114971975	-3.008527285
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2180	-2.285884233	-2.269638289
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2170	-3.022524399	-3.347360755
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2169	-3.049387206	-2.837636828
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2184	-3.024806389	-3.26590893
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2198	-3.57654809	-3.381958611
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2190	-3.264605623	-2.371871162
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2195	-2.230706632	-2.354161685
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2176	-2.781945952	-2.53434461
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2199	-2.823381427	-2.719264876
GC Drep vs. GW Drep	9. FUBAR Avg. Detla	EF2189	-1.023381317	-1.361741408
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2178	0.078947368	0.090909091
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2192	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2181	0.081081081	0.061538462
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2193	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2164	0	0.012931034
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2171	0.068965517	0.080645161
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2174	0	NA
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2182	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2196	0.227272727	0.157894737
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2197	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2166	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2200	0.043478261	0.041666667
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2168	0	0.012820513
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2167	NA	0.05
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2191	0.038461538	0.035714286
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2177	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2165	0.085714286	0.106060606
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2194	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2179	0	0.015873016
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2183	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2172	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2180	0.132352941	0.105263158
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2170	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2169	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2184	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2198	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2190	0.064516129	0.038461538
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2195	0.0625	0.12
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2176	0.066666667	0.05
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2199	0	0
GC Drep vs. GW Drep	8. FUBAR Prop. Pos Sel.	EF2189	0.111111111	0.166666667
GC Drep vs. No Drep	1. Conservation	EF2178	1	0.963474026
GC Drep vs. No Drep	1. Conservation	EF2192	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2181	1	1
GC Drep vs. No Drep	1. Conservation	EF2193	1	1
GC Drep vs. No Drep	1. Conservation	EF2164	0.370967742	0.527597403
GC Drep vs. No Drep	1. Conservation	EF2171	0.693548387	0.767045455
GC Drep vs. No Drep	1. Conservation	EF2174	0.64516129	0.664772727
GC Drep vs. No Drep	1. Conservation	EF2182	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2196	1	0.998376623
GC Drep vs. No Drep	1. Conservation	EF2197	1	1
GC Drep vs. No Drep	1. Conservation	EF2166	0.306451613	0.416396104
GC Drep vs. No Drep	1. Conservation	EF2200	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2168	0.387096774	0.435064935
GC Drep vs. No Drep	1. Conservation	EF2167	NA	0.326298701
GC Drep vs. No Drep	1. Conservation	EF2191	1	1
GC Drep vs. No Drep	1. Conservation	EF2177	1	0.997564935
GC Drep vs. No Drep	1. Conservation	EF2165	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2194	1	1
GC Drep vs. No Drep	1. Conservation	EF2179	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2183	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2172	0.709677419	0.768668831
GC Drep vs. No Drep	1. Conservation	EF2180	1	NA
GC Drep vs. No Drep	1. Conservation	EF2170	0.983870968	0.99512987
GC Drep vs. No Drep	1. Conservation	EF2169	0.822580645	0.935876623
GC Drep vs. No Drep	1. Conservation	EF2184	1	1
GC Drep vs. No Drep	1. Conservation	EF2198	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2190	1	0.999188312
GC Drep vs. No Drep	1. Conservation	EF2195	1	0.998376623
GC Drep vs. No Drep	1. Conservation	EF2176	0.580645161	0.730519481
GC Drep vs. No Drep	1. Conservation	EF2199	1	0.996753247
GC Drep vs. No Drep	1. Conservation	EF2189	1	1
GC Drep vs. No Drep	6. Tajimas D	EF2178	-1.623216331	-1.6572952
