	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
t25_fai-gene-cluster-1	30.0	29.0	28.0	32.0	52.0	37.0	34.0	27.0	34.0	31.0	35.0	34.0	35.0	36.0	32.0	41.0	33.0	0.0	31.0	30.0	30.0	32.0	39.0	33.0	33.0	32.0	30.0	39.0	50.0	33.0	28.0
t26_fai-gene-cluster-1	17.0	34.0	28.0	27.0	33.0	38.0	36.0	38.0	45.0	26.0	36.0	20.0	20.0	37.0	45.0	23.0	30.0	31.0	0.0	31.0	29.0	51.0	36.0	33.0	41.0	56.0	47.0	34.0	28.0	48.0	31.0
t27_fai-gene-cluster-1	19.0	28.0	26.0	22.0	29.0	35.0	34.0	47.0	38.0	27.0	34.0	29.0	25.0	41.0	34.0	29.0	26.0	30.0	31.0	0.0	25.0	36.0	33.0	29.0	34.0	29.0	38.0	34.0	27.0	34.0	25.0
t28_fai-gene-cluster-1	31.0	33.0	38.0	33.0	30.0	31.0	31.0	26.0	29.0	37.0	31.0	34.0	32.0	30.0	30.0	30.0	51.0	30.0	29.0	25.0	0.0	31.0	37.0	42.0	31.0	29.0	29.0	35.0	34.0	28.0	47.0
t29_fai-gene-cluster-1	19.0	31.0	30.0	30.0	35.0	41.0	36.0	39.0	43.0	32.0	38.0	26.0	23.0	41.0	48.0	26.0	31.0	32.0	51.0	36.0	31.0	0.0	39.0	34.0	48.0	51.0	54.0	37.0	32.0	45.0	33.0
t2_fai-gene-cluster-1	29.0	41.0	37.0	33.0	36.0	40.0	35.0	36.0	39.0	44.0	42.0	34.0	31.0	38.0	39.0	33.0	37.0	39.0	36.0	33.0	37.0	39.0	0.0	44.0	41.0	41.0	38.0	52.0	40.0	35.0	40.0
t30_fai-gene-cluster-1	29.0	34.0	52.0	35.0	35.0	37.0	35.0	30.0	35.0	44.0	35.0	32.0	31.0	33.0	34.0	31.0	45.0	33.0	33.0	29.0	42.0	34.0	44.0	0.0	32.0	37.0	33.0	41.0	36.0	32.0	41.0
t3_fai-gene-cluster-1	24.0	36.0	30.0	33.0	34.0	37.0	34.0	39.0	40.0	32.0	38.0	30.0	25.0	42.0	53.0	28.0	29.0	33.0	41.0	34.0	31.0	48.0	41.0	32.0	0.0	44.0	47.0	41.0	33.0	43.0	31.0
t4_fai-gene-cluster-1	20.0	37.0	32.0	27.0	34.0	37.0	34.0	38.0	43.0	32.0	35.0	26.0	21.0	34.0	47.0	23.0	30.0	32.0	56.0	29.0	29.0	51.0	41.0	37.0	44.0	0.0	47.0	39.0	29.0	47.0	28.0
t5_fai-gene-cluster-1	20.0	34.0	29.0	32.0	32.0	39.0	38.0	44.0	41.0	34.0	35.0	28.0	22.0	45.0	47.0	25.0	30.0	30.0	47.0	38.0	29.0	54.0	38.0	33.0	47.0	47.0	0.0	36.0	30.0	43.0	33.0
t6_fai-gene-cluster-1	30.0	38.0	36.0	34.0	36.0	38.0	35.0	37.0	37.0	42.0	41.0	40.0	33.0	36.0	40.0	37.0	35.0	39.0	34.0	34.0	35.0	37.0	52.0	41.0	41.0	39.0	36.0	0.0	40.0	33.0	35.0
t7_fai-gene-cluster-1	31.0	29.0	29.0	33.0	48.0	37.0	32.0	27.0	34.0	32.0	34.0	35.0	36.0	32.0	33.0	41.0	34.0	50.0	28.0	27.0	34.0	32.0	40.0	36.0	33.0	29.0	30.0	40.0	0.0	33.0	30.0
t8_fai-gene-cluster-1	18.0	40.0	30.0	31.0	34.0	59.0	38.0	40.0	70.0	31.0	53.0	28.0	21.0	39.0	44.0	26.0	30.0	33.0	48.0	34.0	28.0	45.0	35.0	32.0	43.0	47.0	43.0	33.0	33.0	0.0	34.0
t9_fai-gene-cluster-1	28.0	34.0	35.0	37.0	30.0	36.0	30.0	23.0	35.0	40.0	35.0	29.0	26.0	28.0	31.0	24.0	50.0	28.0	31.0	25.0	47.0	33.0	40.0	41.0	31.0	28.0	33.0	35.0	30.0	34.0	0.0
