Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)
OG_97	True	0.732954545	2682	11	"-"	0.858831815	0.687311178	0.127801136	0.124122973	0.843137255	1.005813953	0.707492149	0.01510574	0.357568978	-0.130072841	NA	324	-2.005979194	0.009259259	EF2174|OG1RF_0163 (0.0)
OG_98	True	0.783279221	849	12	"-"	2.942485381	0.258333333	0.078602156	0.233470611	0.991575728	1.005291005	0.007092199	0	0.356890459	-0.072368421	NA	63	-2.239158227	0.063492063	EF2175 (4.6e-219)
OG_99	True	0.731331169	759	13	"-"	-1.027490019	0.071428571	0.007975364	0.004369367	0.999621154	1.006681959	0	0	0.309617918	-0.05982906	NA	17	-2.068672221	0.117647059	EF2176|OG1RF_0164 (3.3e-188)
OG_100	False	1	1398	14	"-"	NA	NA	NA	NA	NA	NA	0	0	0.32832618	-0.080260304	NA	NA	NA	NA	EF2177|epaR (0.0)
OG_101	True	0.999188312	1302	15	"-"	-1.611305945	0.160892995	0.011778777	0.002088132	0.997690531	1.006514658	0.002304147	0	0.37250384	-0.137577002	NA	51	-1.869899062	0.137254902	EF2178|epaQ (0.0)
OG_103	True	1	1971	16	"-"	-1.279042204	0.111280488	0.01056532	0.002868371	1.000370793	1.007216553	0	0	0.37189244	-0.154160982	NA	77	-2.427041144	0.012987013	EF2179|epaP (0.0)
OG_104	True	1	2142	17	"-"	-1.109501133	0.113604488	0.01143676	0.006518407	0.998229245	1.005862294	0	0	0.370681606	-0.097099622	NA	81	-2.001962599	0.111111111	EF2180|epaO (0.0)
OG_105	True	1	3144	18	"-"	-1.105722742	0.113021331	0.011384136	0.002294688	0.997793959	1.004234734	0	0	0.377703562	-0.092592593	NA	153	-2.031953422	0.071895425	EF2181|epaN (0.0)
OG_106	True	1	1218	19	"-"	-0.467225705	0.097942387	0.012777686	0.003173665	1.002932551	1.008510638	0	0	0.367816092	-0.160714286	NA	55	-2.882949327	0	EF2182|epaM (6.13e-302)
OG_107	True	1	795	20	"-"	-2.011443207	0.122474747	0.005248826	0.004175833	1.002995324	1.010443864	0.323076923	0	0.325786164	-0.003861004	NA	20	-2.178417814	0	EF2183|epaL (4.43e-183)
OG_108	True	1	342	21	"+"	-0.579080898	0.067846608	0.00837317	0.00814844	1.003003003	1.011537117	0	0	0.304093567	0.038461538	NA	9	-2.607510663	0	EF2184|epaK (2.36e-68)
OG_96	False	0.011363636	1179	22	"+"	NA	NA	NA	NA	NA	NA	0	0	0.350296862	0.050847458	NA	NA	NA	NA	EF2185 (equivalent to EF2173)
OG_109	True	0.004058442	252	23	"-"	< 3 segregating sites!	0	0	NA	1	1	0	0	0.273809524	-0.246376812	NA	NA	NA	NA	EF2186 (based on BLASTp)
OG_110	True	0.012175325	1173	24	"-"	1.472359411	0.206837607	0.085364055	0.02868155	1	1.004119991	0	0	0.3657289	0.016317016	NA	135	-6.466007005	0	EF2187 (based on BLASTp)
OG_111	True	0.451298701	1038	25	"-"	-2.123295511	0.041545894	0.001919689	0.10832806	1	1.004264566	0.002890173	0	0.263969171	-0.204379562	NA	5	-1.115817074	0.4	EF2188 (based on BLASTp)
OG_113	True	1	351	26	"-"	0.338242447	0.16091954	0.026785395	0.010695355	0.970071568	1.007264599	0.359116022	0	0.301994302	-0.038461538	NA	16	-0.85843448	0.1875	EF2189|epaJ (1.78e-70)
OG_114	True	1	726	27	"-"	-1.506018656	0.188105118	0.014265984	0.027791192	0.996255934	1.008928571	0	0	0.385674931	-0.2	NA	27	-2.0600208	0.037037037	EF2190|epaI (2.13e-174)
OG_115	True	1	843	28	"-"	-1.47623869	0.107142857	0.008844605	0.008081904	1	1.007756102	0	0	0.381969158	-0.164086687	NA	21	-1.754747551	0.095238095	EF2191|epaH (3.59e-206)
OG_116	True	1	1029	29	"-"	-1.019961148	0.084795322	0.008698279	0.001178886	1.000831255	1.010443864	0	0	0.385811467	-0.095477387	NA	40	-2.687662163	0	EF2192|epaG (4.49e-263)
OG_117	True	1	573	30	"-"	-1.589160521	0.114035088	0.007736796	0.000119433	1.002710027	1.010116344	0	0	0.378708551	-0.110091743	NA	12	-1.696271303	0	EF2193|epaF (6.58e-146)
OG_118	True	1	867	31	"-"	-1.194250014	0.072916667	0.006674421	0.002335567	1.002995324	1.010116344	0	0	0.387543253	-0.166666667	NA	26	-2.482601644	0	EF2194|epaE (1.53e-211)
OG_119	False	1	714	32	"-"	NA	NA	NA	NA	NA	NA	0	0	0.3767507	-0.118518519	NA	NA	NA	NA	EF2195|epaD (3.85e-175)
OG_120	True	1	828	33	"-"	-1.001941118	0.128484848	0.0133219	0.012064775	0.992655304	1.010116344	0	0	0.369565217	0.009771987	NA	26	-1.230467001	0.192307692	EF2196|epaC (2.15e-200)
OG_121	True	1	783	34	"-"	-1.135957495	0.112820513	0.010415511	0.002693857	0.999737318	1.010116344	0.068100358	0	0.33844189	-0.126865672	NA	18	-1.71483856	0	EF2197|epaB (3.7e-194)
OG_122	True	0.999188312	1149	35	"-"	-1.207345692	0.079406632	0.007284715	0.005404065	1.002995324	1.010116344	0	0	0.364664926	-0.136038186	NA	49	-3.281114354	0	EF2198|epaA (3.26e-257)
OG_124	True	1	909	36	"-"	-1.578655988	0.115693013	0.008571972	0.004879611	1.002682758	1.010443864	0.156521739	0	0.361936194	-0.105105105	NA	30	-1.368481949	0.133333333	EF2199|orfde2 (1.55e-202)
OG_125	True	1	765	37	"-"	-0.573386943	0.103674541	0.0128967	0.005391874	1	1.010116344	0.114982578	0	0.406535948	-0.201277955	NA	31	-2.341212594	0.032258065	EF2200|orfde1 (1.58e-196)
