DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	epa
FIELD_LABELS	EF2200	EF2199	EF2198|epaA	EF2197|epaB	EF2196|epaC	EF2195|epaD	EF2194|epaE	EF2193|epaF	EF2192|epaG	EF2191|epaH	EF2190|epaI	EF2189|epaJ	EF2188	EF2187	EF2186	EF2184|epaK	EF2183|epaL	EF2182|epaM	EF2181|epaN	EF2180|epaO	EF2179|epaP	EF2178|epaQ	EF2177|epaR	EF2176	EF2175	EF2174	EF2173|EF2185	EF2172	EF2171	EF2170|epaX	EF2169	EF2168	EF2167	EF2166	EF2165	EF2164
Enterococcus_B_faecalis_A_GCA_000415185	86.6	63.8	61.3	54.3	44.2	59.9	90.3	91.6	90.1	76.4	0.0	0.0	0.0	0.0	0.0	0.0	63.8	75.4	40.7	55.2	40.8	29.7	69.6	0.0	64.3	0.0	0.0	76.4	60.2	58.6	36.6	55.5	0.0	73.0	69.8	0.0
Enterococcus_A_hulanensis_GCA_002140655	87.8	48.5	53.6	53.7	37.6	54.4	89.5	83.2	89.8	76.8	0.0	0.0	0.0	0.0	0.0	0.0	53.4	76.0	43.1	60.6	41.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_D_sp001297065_GCA_002337935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_faecium_GCA_015356315	0.0	0.0	57.9	53.5	43.1	60.3	92.0	88.9	89.5	78.3	0.0	0.0	0.0	0.0	0.0	0.0	63.8	76.8	38.0	57.0	40.5	32.5	68.2	0.0	0.0	0.0	0.0	0.0	0.0	25.5	24.3	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_sp011038845_GCA_011038845	87.4	66.2	59.9	54.7	44.0	59.5	92.4	88.9	89.5	77.5	0.0	0.0	0.0	0.0	0.0	0.0	63.1	75.6	40.6	56.9	41.9	31.1	69.5	0.0	0.0	0.0	0.0	0.0	0.0	25.3	23.6	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp002140975_GCA_002140975	90.2	70.4	76.5	72.2	48.4	58.8	93.0	87.9	90.9	79.3	67.6	54.2	0.0	0.0	0.0	69.4	0.0	44.4	0.0	56.5	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_wangshanyuanii_GCA_002197645	91.3	75.9	79.1	73.1	52.5	64.4	94.4	92.1	92.4	81.3	64.5	63.9	0.0	0.0	0.0	57.1	77.4	87.9	67.6	76.9	64.4	52.8	76.6	0.0	66.5	0.0	0.0	87.6	60.5	53.3	35.4	53.6	0.0	74.2	72.9	0.0
Enterococcus_B_durans_GCA_902166615	88.2	65.9	56.6	54.8	48.0	58.8	90.3	87.9	88.6	75.6	0.0	0.0	0.0	0.0	0.0	0.0	61.6	75.0	38.0	56.7	39.6	33.6	68.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.4	0.0
Enterococcus_B_sp017316125_GCA_017316125	86.2	67.3	57.3	54.6	46.5	59.3	93.8	87.4	88.6	76.7	0.0	0.0	0.0	0.0	0.0	0.0	61.9	76.8	38.9	57.1	41.5	33.0	69.6	0.0	61.3	0.0	0.0	76.4	58.5	52.3	37.0	56.6	44.7	76.7	67.8	0.0
Enterococcus_J_nangangensis_GCA_005405245	81.5	58.5	59.6	50.6	38.6	39.9	90.3	75.3	84.8	0.0	51.9	0.0	0.0	0.0	0.0	0.0	0.0	42.2	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	32.6	0.0	0.0	0.0	37.8	0.0	0.0	0.0	0.0
Enterococcus_moraviensis_GCA_000394015	90.6	76.0	80.0	70.4	50.4	60.5	93.7	92.6	91.2	80.6	65.3	60.0	0.0	0.0	0.0	55.4	79.5	89.4	66.7	78.6	65.0	49.5	75.3	26.3	66.9	49.5	0.0	88.9	59.9	54.9	36.1	52.9	0.0	75.5	72.5	0.0
Enterococcus_B_hirae_GCA_013391205	86.6	65.5	61.0	53.9	43.3	57.8	91.6	88.9	90.1	75.0	0.0	0.0	0.0	0.0	0.0	0.0	61.6	75.7	39.3	55.8	40.2	32.2	69.3	0.0	79.6	64.3	0.0	76.8	58.8	73.1	61.9	73.4	65.0	81.6	68.8	0.0
Enterococcus_A_pallens_GCA_000393975	87.4	50.7	57.7	55.4	39.1	51.3	88.9	81.9	89.2	75.7	28.7	0.0	0.0	0.0	0.0	0.0	55.9	74.5	42.8	59.2	40.1	34.3	68.0	0.0	61.3	0.0	0.0	76.4	57.2	67.2	29.9	0.0	0.0	0.0	72.3	0.0
Enterococcus_A_xiangfangensis_GCA_016909115	86.2	53.5	61.2	54.3	36.0	56.0	89.9	84.2	88.0	79.3	29.2	0.0	0.0	0.0	0.0	0.0	55.9	76.3	42.8	61.4	41.6	0.0	64.3	0.0	59.2	0.0	0.0	78.5	57.6	60.9	0.0	46.9	0.0	0.0	71.6	0.0
Enterococcus_B_ratti_GCA_001886195	84.6	61.2	60.3	53.1	41.9	56.5	90.3	85.3	86.5	72.7	0.0	0.0	0.0	0.0	0.0	0.0	54.5	74.6	38.7	56.2	41.7	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_florum_GCA_004309355	83.9	51.2	57.6	58.1	37.3	51.7	89.2	84.4	87.7	76.8	38.1	0.0	0.0	0.0	0.0	0.0	0.0	38.5	0.0	0.0	0.0	36.2	65.5	0.0	0.0	47.3	0.0	78.0	55.4	28.6	39.7	31.5	39.4	63.0	64.0	0.0
Enterococcus_E_cecorum_GCA_900447715	0.0	0.0	0.0	64.7	36.7	55.0	92.7	90.0	86.8	77.9	0.0	0.0	0.0	0.0	0.0	0.0	59.3	73.3	43.6	62.3	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_malodoratus_GCA_013394325	84.6	47.8	54.2	55.8	37.6	54.7	90.3	83.7	89.8	75.4	27.7	0.0	0.0	0.0	0.0	0.0	56.3	75.8	42.3	61.0	41.3	33.8	66.0	0.0	56.9	0.0	0.0	78.1	57.9	56.8	30.8	0.0	0.0	0.0	69.5	0.0
Enterococcus_A_sp017315985_GCA_017315985	87.0	48.5	53.8	55.4	37.8	55.1	89.9	83.2	89.5	76.4	0.0	0.0	0.0	0.0	0.0	0.0	57.0	75.8	42.2	62.3	41.5	33.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_pernyi_GCA_013394305	87.4	62.3	60.4	52.7	42.9	60.3	90.3	88.9	88.3	77.5	0.0	0.0	0.0	0.0	0.0	0.0	61.6	75.7	47.0	56.1	40.8	31.7	69.1	0.0	62.1	0.0	0.0	76.8	57.0	71.6	57.1	73.0	67.2	80.7	69.4	0.0
Enterococcus_C_sp009933135_GCA_009933135	0.0	0.0	0.0	59.8	42.0	58.2	86.5	73.2	82.2	76.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	39.5	0.0	0.0	0.0	47.9	0.0	0.0	0.0	28.9	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_I_aquimarinus_GCA_001885765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_J_timonensis_GCA_900104595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_G_italicus_GCA_000185365	0.0	0.0	0.0	58.9	43.6	52.6	89.8	83.2	86.0	75.3	50.4	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.2	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_mundtii_GCA_002813755	87.0	62.3	60.2	52.3	43.2	60.3	90.3	88.9	88.3	76.8	0.0	0.0	0.0	0.0	0.0	0.0	61.6	75.7	46.0	56.3	40.5	31.5	68.2	0.0	76.6	66.1	0.0	75.5	56.2	54.5	31.0	0.0	0.0	0.0	69.1	0.0
Enterococcus_B_sp002140175_GCA_002140175	87.4	63.4	59.6	53.4	46.1	60.3	91.7	88.4	89.5	75.6	0.0	0.0	0.0	0.0	0.0	0.0	62.7	75.6	36.6	56.8	41.9	33.1	68.2	0.0	32.8	0.0	0.0	43.3	37.8	24.9	0.0	0.0	40.3	73.3	68.9	0.0
Enterococcus_D_gallinarum_GCA_900461195	0.0	0.0	0.0	64.2	43.8	56.0	90.6	87.4	86.5	72.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_thailandicus_GCA_002140775	85.4	68.0	60.1	54.2	47.6	60.6	93.1	87.4	88.6	77.1	0.0	0.0	0.0	0.0	0.0	0.0	61.9	76.1	38.9	57.2	41.5	33.6	69.1	0.0	61.6	0.0	0.0	76.4	59.5	41.4	0.0	0.0	0.0	0.0	69.1	0.0
Enterococcus_B_sp009933175_GCA_009933175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_haemoperoxidus_GCA_000407165	91.3	74.6	79.7	73.1	51.8	59.7	94.8	91.1	90.9	78.8	65.3	61.9	0.0	0.0	0.0	53.6	79.5	90.1	66.3	78.5	62.5	36.7	65.5	25.1	0.0	36.7	0.0	0.0	0.0	0.0	0.0	31.9	0.0	0.0	67.5	0.0
Enterococcus_F_saccharolyticus_GCA_000407285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_D_sp002850555_GCA_002850555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_H_canis_GCA_001885805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_lactis_GCA_002141175	87.0	64.5	57.9	53.9	43.8	61.2	92.0	89.5	89.2	78.6	0.0	0.0	0.0	0.0	0.0	0.0	63.8	76.8	38.2	57.0	41.0	32.4	66.7	0.0	59.4	0.0	0.0	76.0	59.1	55.2	38.4	58.0	0.0	70.1	68.8	0.0
Enterococcus_sp017377505_GCA_017377505	90.2	75.3	80.8	69.2	52.5	63.4	94.8	93.7	91.8	78.9	53.3	0.0	0.0	0.0	0.0	0.0	0.0	41.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.2	0.0	0.0	0.0	34.5	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_quebecensis_GCA_001730365	90.9	73.1	82.0	71.5	49.3	62.5	94.4	92.6	93.0	80.1	55.0	0.0	0.0	0.0	0.0	0.0	0.0	40.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.2	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_plantarum_GCA_001730295	90.6	74.6	78.6	72.3	51.8	60.5	94.8	92.1	90.9	79.1	66.9	60.6	0.0	0.0	0.0	54.5	80.3	89.4	66.1	78.8	61.6	50.3	75.7	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_crotali_GCA_002140675	91.3	77.4	80.7	72.3	51.4	60.9	94.1	93.2	90.6	78.7	64.9	62.5	0.0	0.0	0.0	56.3	80.7	89.6	66.5	79.7	69.1	0.0	88.3	0.0	0.0	35.8	0.0	0.0	0.0	0.0	0.0	31.5	0.0	0.0	0.0	0.0
Enterococcus_rivorum_GCA_001742285	91.3	69.4	79.5	72.3	44.2	57.1	95.4	86.3	92.1	81.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.1	0.0	0.0	0.0	31.7	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_pseudoavium_GCA_001544295	87.0	51.9	57.1	52.7	35.7	53.0	90.3	82.6	88.3	76.4	0.0	0.0	0.0	0.0	0.0	0.0	56.3	75.8	42.9	60.1	40.3	33.0	64.8	0.0	0.0	0.0	0.0	0.0	0.0	46.7	30.7	0.0	0.0	0.0	68.5	0.0
Enterococcus_C_diestrammenae_GCA_016908885	0.0	0.0	0.0	60.5	41.6	55.1	84.7	71.7	80.4	73.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8	0.0	0.0	0.0	37.3	0.0	0.0	0.0	33.3	0.0	0.0	0.0	30.3	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_E_columbae_GCA_000406925	0.0	0.0	0.0	60.1	41.2	56.0	93.1	91.1	88.9	79.1	0.0	0.0	0.0	0.0	0.0	0.0	60.4	71.5	44.1	62.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_asini_GCA_000407365	0.0	0.0	0.0	55.5	43.8	55.5	88.5	80.5	86.3	76.4	30.6	0.0	0.0	0.0	0.0	0.0	0.0	39.8	0.0	54.9	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp016745255_GCA_016745255	91.7	69.3	77.5	72.3	48.5	58.2	94.4	91.1	90.1	80.6	0.0	0.0	0.0	0.0	0.0	0.0	41.7	43.5	0.0	55.6	0.0	0.0	0.0	0.0	0.0	51.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_canintestini_GCA_002269685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_mundtii_B_GCA_002947535	87.8	62.6	60.2	51.9	42.9	60.3	90.3	88.9	88.6	76.4	0.0	0.0	0.0	0.0	0.0	0.0	61.9	75.7	46.3	56.5	41.3	31.7	69.7	0.0	0.0	0.0	0.0	44.2	34.6	26.9	0.0	32.8	41.2	73.1	69.1	0.0
Enterococcus_D_casseliflavus_GCA_900447685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_sp019218635_GCA_019218635	83.9	51.9	56.7	54.8	36.4	52.1	86.5	83.2	87.1	76.4	27.7	0.0	0.0	0.0	0.0	0.0	57.6	73.2	42.7	59.2	39.5	32.3	63.7	0.0	0.0	0.0	0.0	0.0	0.0	38.8	0.0	0.0	0.0	0.0	67.6	0.0
Enterococcus_ureilyticus_GCA_001730315	89.4	75.3	79.6	71.5	49.6	58.5	94.8	92.1	91.5	79.3	31.0	0.0	0.0	0.0	0.0	0.0	61.9	79.2	48.1	55.1	0.0	0.0	0.0	0.0	0.0	50.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8	0.0
Enterococcus_I_alcedinis_GCA_017874975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp016745275_GCA_016745275	92.1	69.0	79.0	66.9	49.1	56.2	95.1	88.9	91.5	82.9	29.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp002174455_GCA_002174455	91.3	75.2	78.9	72.7	54.3	63.1	93.7	91.1	92.4	80.6	63.6	61.9	0.0	0.0	0.0	56.3	78.9	88.4	67.1	76.7	63.6	52.5	76.6	0.0	65.8	0.0	0.0	88.5	60.8	52.6	35.8	54.0	0.0	73.8	72.9	0.0
Enterococcus_D_sp002140915_GCA_002140915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_villorum_GCA_000407205	86.6	65.2	60.2	56.3	41.4	56.5	90.6	87.8	89.5	76.0	0.0	0.0	45.4	0.0	0.0	0.0	61.2	75.1	38.6	56.0	39.7	31.5	69.8	0.0	78.4	68.1	0.0	77.3	59.9	75.0	61.1	74.5	64.4	83.1	70.4	0.0
Enterococcus_B_sp017315945_GCA_017315945	85.8	68.4	57.3	54.6	47.2	60.2	93.4	87.9	88.9	77.1	0.0	0.0	0.0	0.0	0.0	0.0	61.9	76.6	37.8	57.4	41.5	33.6	70.0	0.0	60.9	0.0	0.0	77.3	58.4	43.1	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp002140715_GCA_002140715	91.7	75.6	79.1	71.9	51.8	59.7	93.7	93.2	92.4	77.7	66.1	61.0	0.0	0.0	0.0	55.4	79.9	89.1	67.4	77.6	66.8	51.6	84.7	0.0	0.0	42.4	0.0	0.0	0.0	36.4	31.5	0.0	0.0	0.0	71.3	0.0
Enterococcus_ureasiticus_GCA_001730285	90.2	73.9	79.2	71.2	53.3	60.3	94.4	91.1	90.1	79.0	30.4	0.0	0.0	0.0	0.0	0.0	61.9	79.5	48.3	55.0	0.0	0.0	0.0	0.0	0.0	50.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3	0.0
Enterococcus_faecalis_GCA_902166685	99.2	100.0	100.0	99.2	99.3	99.6	100.0	100.0	100.0	99.6	100.0	95.7	0.0	0.0	0.0	100.0	100.0	100.0	99.5	99.4	99.8	99.8	99.8	0.0	0.0	0.0	0.0	99.1	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0
Enterococcus_A_devriesei_GCA_001885905	86.6	46.5	57.1	54.3	35.8	53.0	92.0	83.2	89.8	77.5	27.8	0.0	0.0	0.0	0.0	0.0	59.2	82.7	47.4	54.4	39.1	0.0	66.7	0.0	58.6	0.0	0.0	77.7	56.8	66.8	28.9	47.3	0.0	0.0	69.6	0.0
Enterococcus_A_sp902706605_GCA_902706605	85.0	47.3	60.9	53.5	37.9	53.8	89.6	81.9	85.1	78.2	0.0	0.0	0.0	0.0	0.0	0.0	58.4	76.5	43.6	62.9	37.7	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_sp017377655_GCA_017377655	87.4	50.3	58.0	56.5	35.7	52.1	88.9	81.9	88.3	74.6	0.0	0.0	0.0	0.0	0.0	0.0	56.3	74.4	43.3	59.5	39.9	34.3	69.4	0.0	0.0	0.0	0.0	0.0	0.0	24.8	23.6	0.0	0.0	0.0	0.0	0.0
Enterococcus_rotai_GCA_001465345	91.7	78.1	81.1	73.1	52.5	59.7	93.7	92.1	91.2	80.4	65.7	60.0	0.0	0.0	0.0	54.5	80.7	89.4	66.0	78.3	61.4	38.7	67.7	25.6	0.0	37.1	0.0	0.0	0.0	0.0	0.0	31.5	0.0	0.0	69.1	0.0
Enterococcus_sp002141365_GCA_002141365	91.3	74.6	79.7	72.3	51.4	60.1	93.7	92.6	91.5	80.6	66.5	61.9	0.0	0.0	0.0	56.3	81.1	90.1	66.3	78.3	65.6	50.5	75.5	26.1	66.5	52.3	0.0	89.7	61.5	55.4	34.3	54.7	43.8	74.4	73.9	0.0
Enterococcus_termitis_GCA_001730305	90.6	75.9	77.8	71.9	52.0	62.7	94.4	93.2	91.8	81.3	64.0	59.0	0.0	0.0	0.0	57.1	75.1	88.4	67.2	78.5	64.5	52.0	77.2	0.0	68.4	0.0	0.0	89.3	60.2	55.4	36.9	53.6	0.0	75.1	73.2	0.0
Enterococcus_G_sulfureus_GCA_000407605	0.0	0.0	0.0	58.1	34.5	53.6	89.9	82.6	87.4	75.4	0.0	0.0	0.0	0.0	0.0	0.0	58.0	69.4	44.2	62.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_E_stercoripullorum_GCA_019120335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_sp017316025_GCA_017316025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_I_lemanii_GCA_016909125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_sp002148425_GCA_002148425	91.3	77.7	80.8	72.3	51.8	59.7	93.7	92.6	91.5	79.5	65.7	60.4	0.0	0.0	0.0	54.5	80.7	88.9	65.8	78.0	65.2	52.7	75.5	0.0	65.1	49.6	0.0	88.9	61.2	59.2	31.5	51.1	0.0	0.0	71.7	0.0
Enterococcus_A_sp017377575_GCA_017377575	87.4	51.3	57.4	58.5	38.8	52.1	90.6	83.0	88.6	75.7	0.0	0.0	0.0	0.0	0.0	0.0	56.7	74.0	42.9	61.2	39.4	34.3	66.8	0.0	0.0	0.0	0.0	0.0	0.0	29.6	0.0	0.0	0.0	0.0	0.0	0.0
