Accession	Name	Cluster	Subcluster	PEQtoCluRepr	Grose_Casjens_Cluster	Gros_Casjens_Subcluster
NC_015159.1	Vibrio phage ICP3, complete genome	2	7	0.347102		
NC_007149.1	Vibriophage VP4, complete genome	2	7	0.368229		
NC_023736.1	Ralstonia phage RSB2 DNA, complete genome	161	N/A	1		
NC_026585.1	Mycobacteriophage Estave1, complete genome	1	1	0.560201		
NC_025433.1	Mycobacteriophage Taj, complete genome	1	1	0.705105		
NC_051633.1	Mycobacterium phage ArcusAngelus, complete genome	1	1	0.676483		
NC_013936.1	Mycobacterium phage Ardmore, complete genome	1	1	0.715295999999999		
NC_051634.1	Mycobacterium phage Batiatus, complete genome	1	1	0.651977		
NC_028823.1	Mycobacterium phage Bipolar, complete genome	1	1	0.531352		
NC_051635.1	Mycobacterium phage Blexus, complete genome	1	1	0.687472		
NC_051636.1	Mycobacterium phage BobaPhett, complete genome	1	1	0.648892		
NC_022055.1	Mycobacterium phage Bobi, complete genome	1	1	0.529989		
NC_051637.1	Mycobacterium phage BodEinwohner17, complete genome	1	1	0.679422		
NC_011054.1	Mycobacterium phage Boomer, complete genome	1	1	0.613394		
NC_031262.1	Mycobacterium phage Brocalys, complete genome	1	1	0.568682		
NC_051638.1	Mycobacterium phage Bubbles123, complete genome	1	1	0.743972		
NC_051639.1	Mycobacterium phage Burwell21, complete genome	1	1	0.707235		
NC_026593.1	Mycobacterium phage BuzzLyseyear, complete genome	1	1	0.585777		
NC_051641.1	Mycobacterium phage Byougenkin, complete genome	1	1	0.740036		
NC_028678.1	Mycobacterium phage Cabrinians, complete genome	1	1	0.677408999999999		
NC_028842.1	Mycobacterium phage CaptainTrips, complete genome	1	1	0.66738		
NC_026604.1	Mycobacterium phage Cerasum, complete genome	1	1	0.436658		
NC_004680.2	Mycobacterium phage Che8, complete genome	1	1	0.637135999999999		
NC_051642.1	Mycobacterium phage Chuckly, complete genome	1	1	0.731096		
NC_048850.1	Mycobacterium phage Cornie, complete genome	1	6	0.320269		
NC_022068.1	Mycobacterium phage Daenerys, complete genome	1	1	0.705228		
NC_028946.1	Mycobacterium phage Dante, complete genome	1	1	0.690028		
NC_023728.1	Mycobacterium phage DeadP, complete genome	1	1	0.671461		
NC_051647.1	Mycobacterium phage DillTech15, complete genome	1	1	0.665467		
NC_051648.1	Mycobacterium phage Donkeykong, complete genome	1	1	0.649386		
NC_041855.1	Mycobacterium phage Dorothy, complete genome	1	1	0.696307999999999		
NC_051649.1	Mycobacterium phage Doug, complete genome	1	1	0.725351		
NC_023721.1	Mycobacterium phage Drago, complete genome	1	1	0.802332		
NC_051650.1	Mycobacterium phage DRBy19, complete genome	1	1	0.689894999999999		
NC_051651.1	Mycobacterium phage Eish, complete genome	1	1	0.752958999999999		
NC_051652.1	Mycobacterium phage EleanorGeorge, complete genome	1	1	0.66039		
NC_051653.1	Mycobacterium phage Emma, complete genome	1	1	0.681748999999999		
NC_051654.1	Mycobacterium phage Empress, complete genome	1	1	0.686635		
NC_051656.1	Mycobacterium phage Fancypants, complete genome	1	1	0.69545		
NC_051657.1	Mycobacterium phage Filuzino, complete genome	1	1	0.696652		
NC_051658.1	Mycobacterium phage Firehouse51, complete genome	1	1	0.690992		
NC_028889.1	Mycobacterium phage Florinda, complete genome	1	1	0.686334		
NC_011288.1	Mycobacterium phage Fruitloop, complete genome	1	1	0.695330999999999		
NC_051661.1	Mycobacterium phage Galactic, complete genome	1	1	0.70263		
NC_051662.1	Mycobacterium phage Gandalph, complete genome	1	1	0.726258		
NC_055730.1	Mycobacterium phage Geralt, complete genome	1	1	0.721465999999999		
NC_051663.1	Mycobacterium phage Girr, complete genome	1	1	0.697235		
NC_051664.1	Mycobacterium phage Gorge, complete genome	1	1	0.651444		
NC_023746.1	Mycobacterium phage GUmbie, complete genome	1	1	0.744858999999999		
NC_026595.1	Mycobacterium phage Hades, complete genome	1	1	0.665151		
NC_022056.1	Mycobacterium phage Hamulus, complete genome	1	1	0.719822		
NC_051665.1	Mycobacterium phage Harley, complete genome	1	1	0.704935		
NC_051668.1	Mycobacterium phage Hlubikazi, complete genome	1	1	0.698703		
NC_026596.1	Mycobacterium phage Inventum, complete genome	1	1	0.715144		
NC_021538.1	Mycobacterium phage Job42, complete genome	1	1	0.579477		
NC_051669.1	Mycobacterium phage JoeyJr, complete genome	1	1	0.704347		
NC_051672.1	Mycobacterium phage Kersh, complete genome	1	1	0.574041		
NC_028792.1	Mycobacterium phage Kimberlium, complete genome	1	1	0.666134		
NC_051675.1	Mycobacterium phage Krakatau, complete genome	1	1	0.693916		
NC_051676.1	Mycobacterium phage KristaRAM, complete genome	1	1	0.699187999999999		
NC_055825.1	Mycobacterium phage LilMoolah, complete genome	1	1	0.650916		
NC_051678.1	Mycobacterium phage Lizziana, complete genome	1	1	0.704069		
NC_028923.1	Mycobacterium phage Llama, complete genome	1	1	0.666122		
NC_008196.1	Mycobacterium phage Llij, complete genome	1	1	0.880552		
NC_051679.1	Mycobacterium phage Mahavrat, complete genome	1	1	0.717092		
NC_051680.1	Mycobacterium phage Mantra, complete genome	1	1	0.709287999999999		
NC_051681.1	Mycobacterium phage Mattes, complete genome	1	1	0.64216		
NC_051682.1	Mycobacterium phage Melissauren88, complete genome	1	1	0.683346999999999		
NC_051683.1	Mycobacterium phage MilleniumForce, complete genome	1	1	0.681629		
NC_051684.1	Mycobacterium phage MinionDave, complete genome	1	1	0.677985		
NC_051685.1	Mycobacterium phage Minnie, complete genome	1	1	0.642444999999999		
NC_051687.1	Mycobacterium phage Moonbeam, complete genome	1	1	0.673254999999999		
NC_041847.1	Mycobacterium phage Mutaforma13, complete genome	1	1	0.67616		
NC_051690.1	Mycobacterium phage Nitzel, complete genome	1	1	0.693847		
NC_051691.1	Mycobacterium phage Nivrat, complete genome	1	1	0.672676		
NC_055787.1	Mycobacterium phage Ochi17, complete genome	1	1	0.641966		
NC_051693.1	Mycobacterium phage OldBen, complete genome	1	1	0.705092		
NC_051694.1	Mycobacterium phage OlympiaSaint, complete genome	1	1	0.714691		
NC_028937.1	Mycobacterium phage Ovechkin, complete genome	1	1	0.668860999999999		
NC_051695.1	Mycobacterium phage OwlsT2W, complete genome	1	1	0.604387999999999		
NC_011287.1	Mycobacterium phage Pacc40, complete genome	1	1	0.679681		
NC_051696.1	Mycobacterium phage Phasih, complete genome	1	1	0.729016		
NC_028844.1	Mycobacterium phage Phatniss, complete genome	1	1	1		
NC_055909.1	Mycobacterium phage Plumbus, complete genome	1	1	0.655378		
NC_008205.1	Mycobacterium phage PMC, complete genome	1	1	0.76833		
NC_051699.1	Mycobacterium phage Poenanya, complete genome	1	1	0.720287		
NC_051700.1	Mycobacterium phage Polka14, complete genome	1	1	0.717052		
NC_028961.1	Mycobacterium phage PopTart, complete genome	1	1	0.700468		
NC_051702.1	Mycobacterium phage Priscilla, complete genome	1	1	0.709144		
NC_051703.1	Mycobacterium phage QuickMath, complete genome	1	1	0.76264		
NC_028751.1	Mycobacterium phage Quico, complete genome	1	1	0.585531		
NC_011289.1	Mycobacterium phage Ramsey, complete genome	1	1	0.580446		
NC_048729.1	Mycobacterium phage Renaud18, complete genome	1	5	0.305829		
NC_051704.1	Mycobacterium phage RitaG, complete genome	1	1	0.678601999999999		
NC_051705.1	Mycobacterium phage Royals2015, complete genome	1	1	0.679922		
NC_023580.1	Mycobacterium phage Saal, complete genome	1	1	0.675515		
NC_051706.1	Mycobacterium phage Sandalphon, complete genome	1	1	0.700679		
NC_028813.1	Mycobacterium phage Seagreen, complete genome	1	1	0.59717		
NC_023699.1	Mycobacterium phage SG4, complete genome	1	1	0.640035		
NC_041989.1	Mycobacterium phage Shauna1, complete genome	1	1	0.561863999999999		
NC_041988.1	Mycobacterium phage ShiLan, complete genome	1	1	0.652558		
NC_021301.1	Mycobacterium phage SiSi, complete genome	1	1	0.721201		
NC_028654.1	Mycobacterium phage Sparkdehlily, complete genome	1	1	0.717152		
NC_041986.1	Mycobacterium phage Spartacus, complete genome	1	1	0.639907		
NC_051710.1	Mycobacterium phage Spikelee, complete genome	1	1	0.611892		
NC_051711.1	Mycobacterium phage Spoonbill, complete genome	1	1	0.698539999999999		
NC_026588.1	Mycobacterium phage Squirty, complete genome	1	4	0.311030999999999		
NC_051713.1	Mycobacterium phage SuperGrey, complete genome	1	1	0.655235999999999		
NC_051714.1	Mycobacterium phage SwagPigglett, complete genome	1	1	0.66699		
NC_048705.1	Mycobacterium phage TChen, complete genome	1	3	0.240506		
NC_048788.1	Mycobacterium phage ThetaBob, complete genome	1	7	0.259611		
NC_009820.1	Mycobacterium phage Tweety, complete genome	1	1	0.679055		
NC_022060.1	Mycobacterium phage Velveteen, complete genome	1	1	0.431776		
NC_051716.1	Mycobacterium phage Veteran, complete genome	1	1	0.743551		
NC_051717.1	Mycobacterium phage Wachhund, complete genome	1	1	0.677279		
NC_014901.1	Mycobacterium phage Wee, complete genome	1	1	0.692257		
NC_051718.1	Mycobacterium phage Whouxphf, complete genome	1	1	0.690884		
NC_051719.1	Mycobacterium phage WillSterrel, complete genome	1	1	0.707353		
NC_021334.1	Mycobacterium phage WIVsmall, complete genome	1	2	0.390242		
NC_028910.1	Mycobacterium phage XFactor, complete genome	1	1	0.730613		
NC_051720.1	Mycobacterium phage Zerg, complete genome	1	1	0.76933		
NC_042317.1	Mycobacterium virus DLane, complete genome	1	1	0.708431		
NC_042336.1	Mycobacterium virus DotProduct, complete genome	1	1	0.762488		
NC_042319.1	Mycobacterium virus Ibhubesi, complete genome	1	1	0.771725		
NC_042323.1	Mycobacterium virus Mozy, complete genome	1	1	0.562636		
NC_042315.1	Mycobacterium virus RockyHorror, complete genome	1	1	0.618271		
NC_023576.1	Citrobacter phage CR44b complete genome	2	2	0.420793		
NC_023548.1	Citrobacter phage CR8 complete genome	2	2	0.413726999999999		
NC_028880.1	Citrobacter phage phiCFP-1, complete genome	2	1	0.579118999999999		
NC_031066.1	Citrobacter phage SH1, complete genome	2	1	0.574622		
NC_031092.1	Citrobacter phage SH2, complete genome	2	1	0.567439999999999		
NC_031123.1	Citrobacter phage SH3, complete genome	2	2	0.418795999999999		
NC_031018.1	Citrobacter phage SH4, complete genome	2	2	0.418865		
NC_023558.1	Cronobacter phage Dev2 complete genome	2	2	0.423822999999999		
NC_048161.1	Cronobacter phage GW1, complete genome	2	2	0.414178999999999		
NC_047961.1	Dickeya phage Dagda, complete genome	2	5	0.411105		
NC_048057.1	Dickeya phage Katbat, complete genome	2	5	0.41169		
NC_048059.1	Dickeya phage Luksen, complete genome	2	5	0.410759		
NC_048060.1	Dickeya phage Mysterion, complete genome	2	5	0.412556999999999		
NC_047964.1	Dickeya phage Ninurta, complete genome	2	8	0.472167		
NC_048052.1	Dickeya phage vB DsoP JA10, complete genome	2	8	0.4734		
NC_029102.1	Enterobacter phage E-2, complete genome	2	1	0.567904		
NC_028795.1	Enterobacter phage E-3, complete genome	2	1	0.533592		
NC_048135.1	Enterobacter phage EcpYZU01, complete genome	2	2	0.400008		
NC_028772.1	Enterobacter phage phiEap-1, complete genome	2	11	0.584441		
NC_011045.1	Enterobacteria phage 13a, complete genome	2	1	0.571628999999999		
NC_015249.1	Enterobacteria phage 285P, complete genome	2	1	0.546728		
NC_007636.1	Enterobacteria phage K1F, complete genome	2	2	0.416837		
NC_007456.1	Enterobacteria phage K1F, complete genome	2	2	0.415401		
NC_015719.1	Enterobacteria phage K30, complete genome	2	1	0.827414		
NC_047864.1	Enterobacteria phage T3, complete genome	2	1	0.58101		
NC_003298.1	Enterobacteria phage T3, complete genome	2	1	0.566248		
NC_047867.1	Enterobacteria phage T7M, complete genome	2	1	0.566948		
NC_048082.1	Enterobacteria phage vB EcoP IME390, complete genome	2	1	0.581251		
NC_019510.1	Erwinia phage vB EamP-L1, complete genome	2	16	0.514413		
NC_031114.1	Escherichia phage 64795 ec1, complete genome	2	1	0.576913		
NC_048079.1	Escherichia phage C5, complete genome	2	1	0.582042		
NC_027387.1	Escherichia phage CICC 80001, complete genome	2	1	0.56107		
NC_047942.1	Escherichia phage Ebrios, complete genome	2	1	0.557263		
NC_047766.1	Escherichia phage ECA2, complete genome	2	1	0.568982		
NC_047895.1	Escherichia phage EG1, complete genome	2	1	0.57178		
NC_047923.1	Escherichia phage HZ2R8, complete genome	2	1	0.572500999999999		
NC_048071.1	Escherichia phage IMM-002, complete genome	2	2	0.374607		
NC_048063.1	Escherichia phage LL2, complete genome	2	1	0.565132		
NC_048078.1	Escherichia phage N30, complete genome	2	1	0.588583		
NC_028822.1	Escherichia phage P483, complete genome	2	1	0.537398		
NC_028863.1	Escherichia phage P694, complete genome	2	1	0.547514		
NC_024379.1	Escherichia phage PE3-1, complete genome	2	2	0.426892		
NC_048002.1	Escherichia phage SRT7, complete genome	2	17	0.496065		
NC_047829.1	Escherichia phage ST31, complete genome	2	2	0.413734999999999		
NC_047808.1	Escherichia phage vB EcoP F, complete genome	2	2	0.388642999999999		
NC_031943.1	Escherichia phage vB EcoP GA2A, complete genome	2	2	0.410277		
NC_047984.1	Escherichia phage vB EcoP S523, complete genome	2	1	0.544326		
NC_048136.1	Escherichia phage vB EcoP-Ro45lw, complete genome	2	2	0.412651		
NC_048023.1	Escherichia phage Vec13, complete genome	2	2	0.43013		
NC_047927.1	Escherichia phage YZ1, complete genome	2	2	0.427909		
NC_047777.1	Escherichia phage ZG49, complete genome	2	2	0.42155		
NC_047842.1	Klebsiella phage 2044-307w, complete genome	2	1	0.818462999999999		
NC_048138.1	Klebsiella phage Henu1, complete genome	2	1	0.705021		
NC_011043.1	Klebsiella phage K11, complete genome	2	1	0.839291		
NC_047798.1	Klebsiella phage K5-2, complete genome	2	1	0.820073		
NC_047799.1	Klebsiella phage K5-4, complete genome	2	1	0.820736		
NC_028800.1	Klebsiella phage K5, complete genome	2	1	0.82174		
NC_048129.1	Klebsiella phage KN1-1 DNA, complete genome	2	1	0.760531		
NC_048131.1	Klebsiella phage KN3-1 DNA, complete genome	2	1	0.716911		
NC_048130.1	Klebsiella phage KN4-1 DNA, complete genome	2	1	0.723814		
NC_047968.1	Klebsiella phage KP32 isolate 192, complete genome	2	1	0.820358		
NC_047969.1	Klebsiella phage KP32 isolate 194, complete genome	2	1	0.809536		
NC_047970.1	Klebsiella phage KP32 isolate 195, complete genome	2	1	0.825257		
NC_047971.1	Klebsiella phage KP32 isolate 196, complete genome	2	1	0.797743		
NC_013647.1	Klebsiella phage KP32, complete genome	2	1	0.786363		
NC_048114.1	Klebsiella phage kpssk3, complete genome	2	1	0.838959		
NC_048175.1	Klebsiella phage Pharr, complete genome	2	1	0.821942		
NC_047980.1	Klebsiella phage SH-Kp 152234, complete genome	2	1	0.825801		
NC_047908.1	Klebsiella phage SH-Kp 152410, complete genome	2	1	0.785247		
NC_028688.1	Klebsiella phage vB Kp1, complete genome	2	1	1		
NC_047781.1	Klebsiella phage vB KpnP BIS33, complete genome	2	1	0.791760999999999		
NC_047782.1	Klebsiella phage vB KpnP IL33, complete genome	2	1	0.806558		
NC_047761.1	Klebsiella phage vB KpnP IME205, complete genome	2	1	0.812468		
NC_048014.1	Klebsiella phage vB KpnP IME321, complete genome	2	1	0.846315		
NC_028977.1	Klebsiella phage vB KpnP KpV289, complete genome	2	1	0.808793		
NC_047771.1	Klebsiella phage vB KpnP KpV763, complete genome	2	1	0.842353		
NC_047773.1	Klebsiella phage vB KpnP KpV766, complete genome	2	1	0.806379		
NC_047772.1	Klebsiella phage vB KpnP KpV767, complete genome	2	1	0.84246		
NC_047780.1	Klebsiella phage vB KpnP PRA33, complete genome	2	1	0.822466		
NC_011534.1	Kluyvera phage Kvp1, complete genome	2	1	0.532299		
NC_047843.1	Leclercia phage 10164-302, complete genome	2	1	0.576871		
NC_011085.3	Morganella phage MmP1, complete genome	2	9	0.477315		
NC_031115.1	Morganella phage vB MmoP MP2, complete genome	2	9	0.472886		
NC_047832.1	Pasteurella phage PHB01, complete genome	2	10	0.376434		
NC_047831.1	Pasteurella phage PHB02, complete genome	2	10	0.365940999999999		
NC_047886.1	Pectobacterium phage DU PP II, complete genome	2	15	0.535517999999999		
NC_047963.1	Pectobacterium phage Jarilo, complete genome	2	13	0.515772		
NC_047801.2	Pectobacterium phage PP47, complete genome	2	6	0.469684		
NC_047789.1	Pectobacterium phage PP74, complete genome	2	1	0.532666		
NC_047797.2	Pectobacterium phage PP81, complete genome	2	6	0.469707		
NC_047819.1	Pectobacterium phage PPWS4 DNA, complete genome	2	6	0.478784		
NC_048163.1	Phage NC-A, complete genome	2	1	0.548188		
NC_047965.1	Pseudomonas phage 22PfluR64PP, complete genome	2	4	0.359936999999999		
NC_047922.1	Pseudomonas phage Henninger, complete genome	2	3	0.327208999999999		
NC_047827.1	Pseudomonas phage KNP, complete genome	2	3	0.3647		
NC_027292.1	Pseudomonas phage Pf-10, complete genome	2	4	0.367035		
NC_047874.1	Pseudomonas phage Pf1 ERZ-2017, complete genome	2	3	0.339474999999999		
NC_047997.1	Pseudomonas phage PFP1, complete genome	2	4	0.368303		
