Cluster_ID	Statistic	Value
GCF_109	Maximum of near-core OG E-values observed (log10):	-64.8632794328436
GCF_109	Maximum distance between near-core OGs:	1
GCF_109	Median CDS count:	40.5
GCF_109	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7641509433962264
GCF_1633	Maximum of maximum E-values observed for any OG (log10)	-32.08407278830288
GCF_1633	Maximum of near-core OG E-values observed (log10):	-61.882728704344224
GCF_1633	Maximum distance between near-core OGs:	2
GCF_1633	Median CDS count:	18.0
GCF_1633	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.84375
GCF_1032	Maximum of maximum E-values observed for any OG (log10)	-48.6382721639824
GCF_1032	Maximum of near-core OG E-values observed (log10):	-62.02090709936167
GCF_1032	Maximum distance between near-core OGs:	1
GCF_1032	Median CDS count:	14.0
GCF_1032	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7897435897435897
GCF_2400	Maximum of maximum E-values observed for any OG (log10)	-35.63638802010785
GCF_2400	Maximum of near-core OG E-values observed (log10):	-129.0
GCF_2400	Maximum distance between near-core OGs:	1
GCF_2400	Median CDS count:	14.5
GCF_2400	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6904761904761905
GCF_672	Maximum of maximum E-values observed for any OG (log10)	-23.772113295386326
GCF_672	Maximum of near-core OG E-values observed (log10):	-23.772113295386326
GCF_672	Maximum distance between near-core OGs:	3
GCF_672	Median CDS count:	37.0
GCF_672	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6351351351351351
GCF_2368	Maximum of maximum E-values observed for any OG (log10)	-45.92811799269387
GCF_2368	Maximum of near-core OG E-values observed (log10):	-45.92811799269387
GCF_2368	Maximum distance between near-core OGs:	2
GCF_2368	Median CDS count:	21.0
GCF_2368	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8571428571428571
GCF_2194	Maximum of maximum E-values observed for any OG (log10)	-41.43062609038495
GCF_2194	Maximum of near-core OG E-values observed (log10):	-41.43062609038495
GCF_2194	Maximum distance between near-core OGs:	2
GCF_2194	Median CDS count:	15.0
GCF_2194	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8
GCF_1091	Maximum of maximum E-values observed for any OG (log10)	-299.99999999999994
GCF_1091	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_1091	Maximum distance between near-core OGs:	1
GCF_1091	Median CDS count:	2
GCF_1091	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_1793	Maximum of maximum E-values observed for any OG (log10)	-42.31966448658543
GCF_1793	Maximum of near-core OG E-values observed (log10):	-42.31966448658543
GCF_1793	Maximum distance between near-core OGs:	2
GCF_1793	Median CDS count:	13
GCF_1793	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6923076923076923
GCF_2294	Maximum of maximum E-values observed for any OG (log10)	-82.94309514866352
GCF_2294	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_2294	Maximum distance between near-core OGs:	2
GCF_2294	Median CDS count:	7
GCF_2294	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7142857142857143
GCF_703	Maximum of maximum E-values observed for any OG (log10)	-19.0695604052333
GCF_703	Maximum of near-core OG E-values observed (log10):	-19.0695604052333
GCF_703	Maximum distance between near-core OGs:	1
GCF_703	Median CDS count:	7
GCF_703	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.5714285714285714
GCF_1073	Maximum of maximum E-values observed for any OG (log10)	-158.9706162223148
GCF_1073	Maximum of near-core OG E-values observed (log10):	-158.9706162223148
GCF_1073	Maximum distance between near-core OGs:	1
GCF_1073	Median CDS count:	5.5
GCF_1073	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9166666666666667
GCF_1258	Maximum of maximum E-values observed for any OG (log10)	-134.78515615195226
GCF_1258	Maximum of near-core OG E-values observed (log10):	-134.78515615195226
GCF_1258	Maximum distance between near-core OGs:	1
GCF_1258	Median CDS count:	4.0
GCF_1258	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_90	Maximum of maximum E-values observed for any OG (log10)	-91.79317412396814
GCF_90	Maximum of near-core OG E-values observed (log10):	-91.79317412396814
GCF_90	Maximum distance between near-core OGs:	1
GCF_90	Median CDS count:	9.0
GCF_90	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_1143	Maximum of maximum E-values observed for any OG (log10)	-23.004364805402446
GCF_1143	Maximum of near-core OG E-values observed (log10):	-187.73518217699043
GCF_1143	Maximum distance between near-core OGs:	1
GCF_1143	Median CDS count:	5
GCF_1143	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8
GCF_216	Maximum of maximum E-values observed for any OG (log10)	-14.102922996790577
GCF_216	Maximum of near-core OG E-values observed (log10):	-20.22548303427145
GCF_216	Maximum distance between near-core OGs:	1
GCF_216	Median CDS count:	27.5
GCF_216	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.18187830687830686
GCF_1697	Maximum of maximum E-values observed for any OG (log10)	-58.962573502059364
GCF_1697	Maximum of near-core OG E-values observed (log10):	-74.93930215964639
GCF_1697	Maximum distance between near-core OGs:	2
GCF_1697	Median CDS count:	25.0
GCF_1697	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8051529790660226
GCF_954	Maximum of maximum E-values observed for any OG (log10)	-20.521433504406154
GCF_954	Maximum of near-core OG E-values observed (log10):	-43.80410034759076
GCF_954	Maximum distance between near-core OGs:	2
GCF_954	Median CDS count:	38
GCF_954	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.13157894736842105
GCF_1161	Maximum of maximum E-values observed for any OG (log10)	-286.51144928349953
GCF_1161	Maximum of near-core OG E-values observed (log10):	-286.51144928349953
GCF_1161	Maximum distance between near-core OGs:	2
GCF_1161	Median CDS count:	3.0
GCF_1161	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6666666666666666
GCF_1400	Maximum of maximum E-values observed for any OG (log10)	-30.747146969020108
GCF_1400	Maximum of near-core OG E-values observed (log10):	-43.72353819582675
GCF_1400	Maximum distance between near-core OGs:	4
GCF_1400	Median CDS count:	41.5
GCF_1400	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8193960511033682
GCF_1733	Maximum of maximum E-values observed for any OG (log10)	-36.83863199776502
GCF_1733	Maximum of near-core OG E-values observed (log10):	-36.83863199776502
GCF_1733	Maximum distance between near-core OGs:	1
GCF_1733	Median CDS count:	23.5
GCF_1733	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9038461538461539
GCF_827	Maximum of maximum E-values observed for any OG (log10)	-95.81530856918239
GCF_827	Maximum of near-core OG E-values observed (log10):	-95.81530856918239
GCF_827	Maximum distance between near-core OGs:	1
GCF_827	Median CDS count:	10.0
GCF_827	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_410	Maximum of maximum E-values observed for any OG (log10)	-299.99999999999994
GCF_410	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_410	Maximum distance between near-core OGs:	1
GCF_410	Median CDS count:	3.0
GCF_410	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_1424	Maximum of maximum E-values observed for any OG (log10)	-38.53910215724345
GCF_1424	Maximum of near-core OG E-values observed (log10):	-77.99567862621734
GCF_1424	Maximum distance between near-core OGs:	1
GCF_1424	Median CDS count:	23.5
GCF_1424	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6527777777777778
GCF_948	Maximum of maximum E-values observed for any OG (log10)	-35.2572748686953
GCF_948	Maximum of near-core OG E-values observed (log10):	-53.77989191195994
GCF_948	Maximum distance between near-core OGs:	3
GCF_948	Median CDS count:	12.5
GCF_948	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8814102564102564
GCF_155	Maximum of maximum E-values observed for any OG (log10)	-43.77989191195994
GCF_155	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_155	Maximum distance between near-core OGs:	1
GCF_155	Median CDS count:	6.0
GCF_155	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8571428571428572
GCF_505	Maximum of maximum E-values observed for any OG (log10)	-37.93930215964639
GCF_505	Maximum of near-core OG E-values observed (log10):	-37.93930215964639
GCF_505	Maximum distance between near-core OGs:	1
GCF_505	Median CDS count:	7.0
GCF_505	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2331	Maximum of maximum E-values observed for any OG (log10)	-32.28149831113272
GCF_2331	Maximum of near-core OG E-values observed (log10):	-32.28149831113272
GCF_2331	Maximum distance between near-core OGs:	1
GCF_2331	Median CDS count:	9.0
GCF_2331	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9
GCF_62	Maximum of maximum E-values observed for any OG (log10)	-45.95860731484177
GCF_62	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_62	Maximum distance between near-core OGs:	1
GCF_62	Median CDS count:	17.0
GCF_62	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.425
GCF_49	Maximum of maximum E-values observed for any OG (log10)	-43.5900668766687
GCF_49	Maximum of near-core OG E-values observed (log10):	-144.80410034759075
GCF_49	Maximum distance between near-core OGs:	1
GCF_49	Median CDS count:	24.0
GCF_49	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8333333333333334
GCF_901	Maximum of maximum E-values observed for any OG (log10)	-30.32057210338788
GCF_901	Maximum of near-core OG E-values observed (log10):	-30.32057210338788
GCF_901	Maximum distance between near-core OGs:	2
GCF_901	Median CDS count:	16
GCF_901	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9375
GCF_1867	Maximum of maximum E-values observed for any OG (log10)	-106.83863199776502
GCF_1867	Maximum of near-core OG E-values observed (log10):	-124.45967052520912
GCF_1867	Maximum distance between near-core OGs:	1
GCF_1867	Median CDS count:	30.0
GCF_1867	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9375
GCF_1288	Maximum of maximum E-values observed for any OG (log10)	-211.76195389687118
GCF_1288	Maximum of near-core OG E-values observed (log10):	-223.65757731917776
GCF_1288	Maximum distance between near-core OGs:	1
GCF_1288	Median CDS count:	11.0
GCF_1288	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9166666666666667
GCF_2267	Maximum of maximum E-values observed for any OG (log10)	-31.66554624884907
GCF_2267	Maximum of near-core OG E-values observed (log10):	-193.42250820016278
GCF_2267	Maximum distance between near-core OGs:	3
GCF_2267	Median CDS count:	12.0
GCF_2267	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.3356643356643357
GCF_685	Maximum of maximum E-values observed for any OG (log10)	-110.2175273758337
GCF_685	Maximum of near-core OG E-values observed (log10):	-110.2175273758337
GCF_685	Maximum distance between near-core OGs:	1
GCF_685	Median CDS count:	15.0
GCF_685	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2010	Maximum of maximum E-values observed for any OG (log10)	-167.8326826652518
GCF_2010	Maximum of near-core OG E-values observed (log10):	-258.0665127121513
GCF_2010	Maximum distance between near-core OGs:	1
GCF_2010	Median CDS count:	5.0
GCF_2010	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8333333333333333
GCF_1448	Maximum of maximum E-values observed for any OG (log10)	-93.77728352885241
GCF_1448	Maximum of near-core OG E-values observed (log10):	-93.77728352885241
GCF_1448	Maximum distance between near-core OGs:	2
GCF_1448	Median CDS count:	16.0
GCF_1448	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8253968253968254
GCF_1226	Maximum of maximum E-values observed for any OG (log10)	-26.320572103387878
GCF_1226	Maximum of near-core OG E-values observed (log10):	-226.86966623150497
GCF_1226	Maximum distance between near-core OGs:	2
GCF_1226	Median CDS count:	14.5
GCF_1226	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7595238095238095
GCF_2156	Maximum of maximum E-values observed for any OG (log10)	-56.48280410205002
GCF_2156	Maximum of near-core OG E-values observed (log10):	-56.48280410205002
GCF_2156	Maximum distance between near-core OGs:	1
GCF_2156	Median CDS count:	20.0
GCF_2156	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_1796	Maximum of maximum E-values observed for any OG (log10)	-65.21253952548157
GCF_1796	Maximum of near-core OG E-values observed (log10):	-65.21253952548157
GCF_1796	Maximum distance between near-core OGs:	1
GCF_1796	Median CDS count:	27.5
GCF_1796	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9457671957671958
GCF_401	Maximum of maximum E-values observed for any OG (log10)	-36.7569619513137
GCF_401	Maximum of near-core OG E-values observed (log10):	-36.7569619513137
GCF_401	Maximum distance between near-core OGs:	2
GCF_401	Median CDS count:	62.5
GCF_401	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8055853920515574
GCF_1152	Maximum of maximum E-values observed for any OG (log10)	-118.93554201077306
GCF_1152	Maximum of near-core OG E-values observed (log10):	-126.53313237964589
GCF_1152	Maximum distance between near-core OGs:	2
GCF_1152	Median CDS count:	9.5
GCF_1152	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7556818181818181
GCF_495	Maximum of maximum E-values observed for any OG (log10)	-30.978810700930058
GCF_495	Maximum of near-core OG E-values observed (log10):	-30.978810700930058
GCF_495	Maximum distance between near-core OGs:	2
GCF_495	Median CDS count:	8
GCF_495	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.875
GCF_1118	Maximum of maximum E-values observed for any OG (log10)	-299.99999999999994
GCF_1118	Maximum of near-core OG E-values observed (log10):	-299.99999999999994
GCF_1118	Maximum distance between near-core OGs:	1
GCF_1118	Median CDS count:	5.0
GCF_1118	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2072	Maximum of maximum E-values observed for any OG (log10)	-145.04479346245805
GCF_2072	Maximum of near-core OG E-values observed (log10):	-145.04479346245805
GCF_2072	Maximum distance between near-core OGs:	1
GCF_2072	Median CDS count:	2.0
GCF_2072	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_158	Maximum of maximum E-values observed for any OG (log10)	-104.66354026615146
GCF_158	Maximum of near-core OG E-values observed (log10):	-104.66354026615146
GCF_158	Maximum distance between near-core OGs:	2
GCF_158	Median CDS count:	10.5
GCF_158	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8590909090909091
GCF_593	Maximum of maximum E-values observed for any OG (log10)	-122.83564714421554
GCF_593	Maximum of near-core OG E-values observed (log10):	-122.83564714421554
GCF_593	Maximum distance between near-core OGs:	1
GCF_593	Median CDS count:	7.0
GCF_593	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.875
GCF_604	Maximum of maximum E-values observed for any OG (log10)	-104.45842075605341
GCF_604	Maximum of near-core OG E-values observed (log10):	-104.45842075605341
GCF_604	Maximum distance between near-core OGs:	1
GCF_604	Median CDS count:	6
GCF_604	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2293	Maximum of maximum E-values observed for any OG (log10)	-50.82102305270682
GCF_2293	Maximum of near-core OG E-values observed (log10):	-50.82102305270682
GCF_2293	Maximum distance between near-core OGs:	2
GCF_2293	Median CDS count:	18.5
GCF_2293	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7686335403726708
GCF_1831	Maximum of maximum E-values observed for any OG (log10)	-44.337242168318426
GCF_1831	Maximum of near-core OG E-values observed (log10):	-44.337242168318426
GCF_1831	Maximum distance between near-core OGs:	2
GCF_1831	Median CDS count:	15
GCF_1831	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8
GCF_921	Maximum of maximum E-values observed for any OG (log10)	-74.16941133131485
GCF_921	Maximum of near-core OG E-values observed (log10):	-180.8210230527068
GCF_921	Maximum distance between near-core OGs:	2
GCF_921	Median CDS count:	19.5
GCF_921	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6128571428571429
GCF_1588	Maximum of maximum E-values observed for any OG (log10)	-175.18243463044018
GCF_1588	Maximum of near-core OG E-values observed (log10):	-175.18243463044018
GCF_1588	Maximum distance between near-core OGs:	1
GCF_1588	Median CDS count:	6.0
GCF_1588	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8571428571428572
GCF_1779	Maximum of maximum E-values observed for any OG (log10)	-60.61083391563546
GCF_1779	Maximum of near-core OG E-values observed (log10):	-60.61083391563546
GCF_1779	Maximum distance between near-core OGs:	1
GCF_1779	Median CDS count:	32.5
GCF_1779	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9166666666666667
GCF_1790	Maximum of maximum E-values observed for any OG (log10)	-69.20620961530916
GCF_1790	Maximum of near-core OG E-values observed (log10):	-69.20620961530916
GCF_1790	Maximum distance between near-core OGs:	1
GCF_1790	Median CDS count:	9.0
GCF_1790	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_1808	Maximum of maximum E-values observed for any OG (log10)	-51.16749108729376
GCF_1808	Maximum of near-core OG E-values observed (log10):	-51.16749108729376
GCF_1808	Maximum distance between near-core OGs:	8
GCF_1808	Median CDS count:	27.0
GCF_1808	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.825
GCF_502	Maximum of maximum E-values observed for any OG (log10)	-36.12147820449879
GCF_502	Maximum of near-core OG E-values observed (log10):	-36.12147820449879
GCF_502	Maximum distance between near-core OGs:	1
GCF_502	Median CDS count:	11
GCF_502	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.45454545454545453
GCF_2401	Maximum of maximum E-values observed for any OG (log10)	-47.90308998699194
GCF_2401	Maximum of near-core OG E-values observed (log10):	-47.90308998699194
GCF_2401	Maximum distance between near-core OGs:	1
GCF_2401	Median CDS count:	20.0
GCF_2401	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.95
GCF_121	Maximum of maximum E-values observed for any OG (log10)	-56.59006687666869
GCF_121	Maximum of near-core OG E-values observed (log10):	-56.59006687666869
GCF_121	Maximum distance between near-core OGs:	3
GCF_121	Median CDS count:	23.0
GCF_121	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.5376623376623377
GCF_627	Maximum of maximum E-values observed for any OG (log10)	-55.86646109162978
GCF_627	Maximum of near-core OG E-values observed (log10):	-55.86646109162978
GCF_627	Maximum distance between near-core OGs:	1
GCF_627	Median CDS count:	18.5
GCF_627	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8409090909090908
GCF_677	Maximum of maximum E-values observed for any OG (log10)	-17.559090917934782
GCF_677	Maximum of near-core OG E-values observed (log10):	-218.27164621797877
GCF_677	Maximum distance between near-core OGs:	1
GCF_677	Median CDS count:	10
GCF_677	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7
GCF_1355	Maximum of maximum E-values observed for any OG (log10)	-75.72124639904716
GCF_1355	Maximum of near-core OG E-values observed (log10):	-75.72124639904716
GCF_1355	Maximum distance between near-core OGs:	1
GCF_1355	Median CDS count:	6.0
GCF_1355	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2285	Maximum of maximum E-values observed for any OG (log10)	-96.93930215964637
GCF_2285	Maximum of near-core OG E-values observed (log10):	-175.94692155651654
GCF_2285	Maximum distance between near-core OGs:	2
GCF_2285	Median CDS count:	16
GCF_2285	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9375
GCF_1516	Maximum of maximum E-values observed for any OG (log10)	-24.67778070526608
GCF_1516	Maximum of near-core OG E-values observed (log10):	-24.67778070526608
