HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N9.HOG0000024	OG0000005	n56			AAV_000165														AAH_000158				AAF_000152			AAL_000160							AAZ_000157
N9.HOG0000025	OG0000006	n1				AAA_000131						AAY_000135							AAH_000136				AAF_000130			AAL_000139							AAZ_000134
N9.HOG0000026	OG0000006	n32			AAV_000144														AAH_000135				AAF_000129			AAL_000138							AAZ_000133
N9.HOG0000027	OG0000007	n12			AAV_000157							AAY_000151							AAH_000148				AAF_000143			AAL_000151							AAZ_000150
N9.HOG0000028	OG0000007	n36			AAV_000158							AAY_000152														AAL_000152							
N9.HOG0000029	OG0000007	n41			AAV_000159							AAY_000153							AAH_000149				AAF_000144			AAL_000153							AAZ_000151
N9.HOG0000030	OG0000008	n12			AAV_000155	AAA_000142						AAY_000148														AAL_000149							
N9.HOG0000031	OG0000008	n26										AAY_000150																					
N9.HOG0000032	OG0000008	n42			AAV_000156	AAA_000143						AAY_000149							AAH_000147				AAF_000142			AAL_000150							AAZ_000149
N9.HOG0000033	OG0000009	n3			AAV_000177	AAA_000161						AAY_000170, AAY_000169							AAH_000168				AAF_000162			AAL_000172							
N9.HOG0000034	OG0000009	n28			AAV_000178							AAY_000171														AAL_000173							
N9.HOG0000035	OG0000010	n1			AAV_000141	AAA_000127						AAY_000132							AAH_000131, AAH_000132				AAF_000125, AAF_000126			AAL_000135							AAZ_000129, AAZ_000130
N9.HOG0000036	OG0000010	n30			AAV_000140	AAA_000126						AAY_000131							AAH_000130				AAF_000124			AAL_000134							AAZ_000128
N9.HOG0000037	OG0000011	n1				AAA_000129																											
N9.HOG0000038	OG0000011	n24			AAV_000142	AAA_000128						AAY_000133							AAH_000133				AAF_000127			AAL_000136							AAZ_000131
N9.HOG0000039	OG0000012	n3																								AAL_000182							
N9.HOG0000040	OG0000012	n35																								AAL_000183							
N9.HOG0000041	OG0000012	n48																	AAH_000177				AAF_000171										AAZ_000177
N9.HOG0000042	OG0000012	n50			AAV_000187							AAY_000179																					
N9.HOG0000043	OG0000013	n3			AAV_000146	AAA_000132						AAY_000137							AAH_000138				AAF_000132			AAL_000141							AAZ_000136
N9.HOG0000044	OG0000013	n28			AAV_000145							AAY_000136							AAH_000137				AAF_000131			AAL_000140							AAZ_000135
N9.HOG0000045	OG0000014	n0			AAV_000184	AAA_000167						AAY_000176							AAH_000174				AAF_000168			AAL_000179							AAZ_000174
N9.HOG0000046	OG0000015	n5			AAV_000153	AAA_000140						AAY_000146							AAH_000145				AAF_000140			AAL_000147							AAZ_000147
N9.HOG0000047	OG0000015	n31			AAV_000152	AAA_000139						AAY_000145							AAH_000144				AAF_000139			AAL_000146							AAZ_000146
N9.HOG0000048	OG0000016	n3			AAV_000170														AAH_000163				AAF_000158			AAL_000165							
N9.HOG0000049	OG0000016	n23			AAV_000171																					AAL_000166							
N9.HOG0000050	OG0000016	n27			AAV_000172														AAH_000164							AAL_000167							
N9.HOG0000051	OG0000017	n5										AAY_000172							AAH_000169				AAF_000163										AAZ_000169
N9.HOG0000052	OG0000017	n14			AAV_000179	AAA_000162																				AAL_000174							
N9.HOG0000053	OG0000017	n33			AAV_000180																												
N9.HOG0000054	OG0000017	n34			AAV_000181	AAA_000163																											
N9.HOG0000055	OG0000018	n2			AAV_000143	AAA_000130						AAY_000134							AAH_000134				AAF_000128			AAL_000137							AAZ_000132
N9.HOG0000056	OG0000019	n7			AAV_000188							AAY_000180														AAL_000184							
N9.HOG0000057	OG0000019	n11				AAA_000171													AAH_000178				AAF_000172										AAZ_000178
N9.HOG0000058	OG0000019	n20				AAA_000172													AAH_000179				AAF_000173										AAZ_000179
N9.HOG0000059	OG0000020	n4			AAV_000147	AAA_000133						AAY_000138							AAH_000139				AAF_000133			AAL_000142							AAZ_000137
N9.HOG0000060	OG0000020	n26				AAA_000134																											AAZ_000138
N9.HOG0000061	OG0000021	n7			AAV_000176							AAY_000168														AAL_000171							
N9.HOG0000062	OG0000021	n10																															AAZ_000167
N9.HOG0000063	OG0000021	n19				AAA_000160													AAH_000167				AAF_000161										AAZ_000166
N9.HOG0000064	OG0000022	n7			AAV_000134																												
N9.HOG0000065	OG0000022	n21			AAV_000133							AAY_000125							AAH_000127, AAH_000126				AAF_000121			AAL_000128							AAZ_000125, AAZ_000124
N9.HOG0000066	OG0000023	n9			AAV_000148	AAA_000135						AAY_000140							AAH_000140				AAF_000134			AAL_000143							AAZ_000140
N9.HOG0000067	OG0000023	n21										AAY_000139																					AAZ_000139
N9.HOG0000068	OG0000024	n6																	AAH_000171				AAF_000165			AAL_000176							AAZ_000171
N9.HOG0000069	OG0000024	n12																	AAH_000172				AAF_000166			AAL_000177							AAZ_000172
N9.HOG0000070	OG0000024	n31				AAA_000165						AAY_000174																					
N9.HOG0000071	OG0000025	n9			AAV_000183	AAA_000166						AAY_000175							AAH_000173				AAF_000167			AAL_000178							AAZ_000173
N9.HOG0000072	OG0000026	n0			AAV_000186	AAA_000169						AAY_000178							AAH_000176				AAF_000170			AAL_000181							AAZ_000176
N9.HOG0000073	OG0000027	n0			AAV_000154	AAA_000141						AAY_000147							AAH_000146				AAF_000141			AAL_000148							AAZ_000148
N9.HOG0000074	OG0000028	n5				AAA_000164						AAY_000173							AAH_000170				AAF_000164			AAL_000175							AAZ_000170
N9.HOG0000075	OG0000028	n27			AAV_000182																												
N9.HOG0000076	OG0000029	n0			AAV_000185	AAA_000168						AAY_000177							AAH_000175				AAF_000169			AAL_000180							AAZ_000175
N9.HOG0000077	OG0000030	n8			AAV_000138							AAY_000129							AAH_000129				AAF_000123			AAL_000132							AAZ_000127
N9.HOG0000078	OG0000030	n20			AAV_000139							AAY_000130														AAL_000133							
N9.HOG0000079	OG0000031	n3			AAV_000174	AAA_000158						AAY_000166														AAL_000169							AAZ_000164
N9.HOG0000080	OG0000031	n25			AAV_000173	AAA_000157													AAH_000165							AAL_000168							AAZ_000163
N9.HOG0000081	OG0000032	n0			AAV_000189	AAA_000173						AAY_000181							AAH_000180				AAF_000174			AAL_000185							AAZ_000180
N9.HOG0000082	OG0000033	n0			AAV_000167	AAA_000153						AAY_000162							AAH_000160				AAF_000154			AAL_000162							AAZ_000159
N9.HOG0000083	OG0000034	n3				AAA_000151																											
N9.HOG0000084	OG0000034	n9			AAV_000166	AAA_000152						AAY_000161							AAH_000159														AAZ_000158
N9.HOG0000085	OG0000034	n24																								AAL_000161							
N9.HOG0000086	OG0000035	n0			AAV_000175	AAA_000159						AAY_000167							AAH_000166				AAF_000160			AAL_000170							AAZ_000165
N9.HOG0000087	OG0000036	n0			AAV_000169	AAA_000155						AAY_000164							AAH_000162				AAF_000157			AAL_000164							AAZ_000161
N9.HOG0000088	OG0000039	n0				AAA_000123																											
