AAA_000132	AAH_000146
AAP_000207	AAV_000182
AAQ_000180	AAR_000185
AAQ_000180	AAS_000164
AAQ_000180	AAT_000148
AAQ_000180	AAU_000173
AAQ_000180	AAV_000148
AAQ_000180	AAW_000167
AAQ_000180	AAY_000140
AAQ_000180	ABA_000171
AAQ_000180	ABB_000157
AAQ_000180	ABC_000126
AAQ_000180	ABE_000172
AAQ_000191	AAS_000186
AAQ_000191	AAU_000194
AAQ_000191	ABC_000137
AAQ_000193	AAU_000193
AAQ_000193	AAX_000158
AAQ_000193	AAY_000157
AAQ_000193	AAZ_000153
AAQ_000193	ABC_000136
AAQ_000199	AAU_000197
AAQ_000199	ABD_000228
AAQ_000199	ABE_000196
AAQ_000205	AAT_000176
AAQ_000205	ABC_000145
AAQ_000212	AAS_000201
AAR_000217	AAS_000196
AAR_000217	ABA_000202
AAS_000172	ABA_000179
AAS_000184	ABB_000173
AAS_000186	AAX_000158
AAS_000186	AAY_000157
AAS_000186	AAZ_000153
AAS_000186	ABC_000136
AAS_000191	ABD_000228
AAS_000196	AAV_000173
AAS_000196	AAW_000196
AAS_000196	AAZ_000163
AAS_000196	ABE_000201
AAS_000201	AAT_000180
AAS_000201	AAU_000209
AAS_000201	AAW_000204
AAS_000201	AAY_000173
AAS_000201	AAZ_000170
AAS_000201	ABB_000190
AAS_000201	ABC_000149
AAS_000201	ABD_000244
AAS_000201	ABE_000209
AAT_000155	ABB_000155
AAU_000194	AAV_000162
AAU_000194	AAX_000158
AAU_000194	AAY_000157
AAU_000194	AAZ_000153
AAU_000194	ABC_000136
AAU_000197	AAX_000163
AAU_000197	AAY_000161
AAU_000197	ABB_000178
AAU_000209	ABA_000209
AAV_000139	ABB_000189
AAV_000162	AAW_000189
AAV_000162	ABC_000137
AAV_000172	AAW_000168
AAV_000172	ABE_000173
AAV_000173	ABA_000202
AAV_000182	AAW_000205
AAV_000182	AAZ_000172
AAV_000182	ABA_000210
AAV_000182	ABB_000192
AAV_000182	ABE_000210
AAW_000185	ABB_000149
AAW_000189	AAX_000158
AAW_000189	AAY_000157
AAW_000189	AAZ_000153
AAW_000189	ABC_000136
AAW_000189	ABE_000193
AAW_000192	ABD_000228
AAW_000196	ABA_000202
AAW_000204	AAZ_000171
AAW_000204	ABA_000209
AAW_000204	ABB_000191
AAX_000158	ABC_000137
AAX_000163	ABD_000228
AAX_000163	ABE_000196
AAY_000130	ABB_000189
AAY_000137	AAZ_000148
AAY_000157	ABC_000137
AAY_000161	ABD_000228
AAY_000161	ABE_000196
AAZ_000153	ABC_000137
AAZ_000153	ABE_000194
AAZ_000158	ABE_000196
AAZ_000163	ABA_000202
AAZ_000171	ABD_000244
AAZ_000171	ABE_000209
ABA_000202	ABE_000201
ABA_000209	ABD_000244
ABA_000209	ABE_000209
ABB_000149	ABE_000192
ABB_000178	ABD_000228
ABB_000178	ABE_000196
ABB_000191	ABD_000244
ABB_000191	ABE_000209
ABC_000136	ABE_000194
ABC_000140	ABE_000196
