HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N19.HOG0000061	OG0000022	n7						AAD_000173			AAO_000187																					AAE_000181	
N19.HOG0000062	OG0000022	n21						AAD_000172			AAO_000186																					AAE_000180	
N19.HOG0000063	OG0000023	n9																														AAE_000197	
N19.HOG0000064	OG0000023	n21						AAD_000189			AAO_000202																					AAE_000196	
N19.HOG0000065	OG0000024	n12						AAD_000233			AAO_000249																					AAE_000247	
N19.HOG0000066	OG0000025	n9						AAD_000234			AAO_000250																					AAE_000248	
N19.HOG0000067	OG0000025	n19						AAD_000235			AAO_000251																					AAE_000249	
N19.HOG0000068	OG0000026	n12																														AAE_000255	
N19.HOG0000069	OG0000026	n15						AAD_000239			AAO_000256																					AAE_000254	
N19.HOG0000070	OG0000027	n22																														AAE_000206	
N19.HOG0000071	OG0000027	n25						AAD_000198			AAO_000210																						
N19.HOG0000072	OG0000028	n14									AAO_000248																					AAE_000246	
N19.HOG0000073	OG0000028	n16						AAD_000232																									
N19.HOG0000074	OG0000029	n20									AAO_000255																					AAE_000253	
N19.HOG0000075	OG0000029	n26									AAO_000254																					AAE_000252	
N19.HOG0000076	OG0000029	n31						AAD_000238																									
N19.HOG0000077	OG0000030	n8						AAD_000176																									
N19.HOG0000078	OG0000030	n20						AAD_000177, AAD_000178																									
N19.HOG0000079	OG0000031	n6						AAD_000227			AAO_000242																					AAE_000239	
N19.HOG0000080	OG0000031	n9						AAD_000226			AAO_000241																					AAE_000238	
N19.HOG0000081	OG0000032	n0						AAD_000242			AAO_000260																					AAE_000260	
N19.HOG0000082	OG0000033	n0						AAD_000220			AAO_000236																					AAE_000233	
N19.HOG0000083	OG0000034	n3						AAD_000218																									
N19.HOG0000084	OG0000034	n9						AAD_000219			AAO_000235																						
N19.HOG0000085	OG0000035	n9						AAD_000228			AAO_000243																						
N19.HOG0000086	OG0000035	n14																														AAE_000241	
N19.HOG0000087	OG0000035	n16																														AAE_000240	
N19.HOG0000088	OG0000036	n0						AAD_000223			AAO_000239																					AAE_000236	
N19.HOG0000089	OG0000037	n0																														AAE_000207	
N19.HOG0000090	OG0000039	n0									AAO_000184																					AAE_000178	
N19.HOG0000091	OG0000040	n0									AAO_000190																					AAE_000185	
N19.HOG0000092	OG0000041	-						AAD_000171			AAO_000185																					AAE_000179	
