HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N13.HOG0000051	OG0000026	n0																	AAH_000176				AAF_000170										AAZ_000176
N13.HOG0000052	OG0000027	n0																	AAH_000146				AAF_000141										AAZ_000148
N13.HOG0000053	OG0000028	n5																	AAH_000170				AAF_000164										AAZ_000170
N13.HOG0000054	OG0000029	n0																	AAH_000175				AAF_000169										AAZ_000175
N13.HOG0000055	OG0000030	n8																	AAH_000129				AAF_000123										AAZ_000127
N13.HOG0000056	OG0000031	n3																															AAZ_000164
N13.HOG0000057	OG0000031	n25																	AAH_000165														AAZ_000163
N13.HOG0000058	OG0000032	n0																	AAH_000180				AAF_000174										AAZ_000180
N13.HOG0000059	OG0000033	n0																	AAH_000160				AAF_000154										AAZ_000159
N13.HOG0000060	OG0000034	n9																	AAH_000159														AAZ_000158
N13.HOG0000061	OG0000035	n0																	AAH_000166				AAF_000160										AAZ_000165
N13.HOG0000062	OG0000036	n0																	AAH_000162				AAF_000157										AAZ_000161
