HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N29.HOG0000024	OG0000006	n1																			AAM_000184							ABD_000188, ABD_000189					
N29.HOG0000025	OG0000006	n32																			AAM_000183							ABD_000187					
N29.HOG0000026	OG0000007	n12																			AAM_000205							ABD_000212					
N29.HOG0000027	OG0000007	n36																										ABD_000213					
N29.HOG0000028	OG0000007	n41																										ABD_000211, ABD_000214					
N29.HOG0000029	OG0000008	n12																			AAM_000201							ABD_000208					
N29.HOG0000030	OG0000008	n29																			AAM_000202							ABD_000209					
N29.HOG0000031	OG0000008	n35																			AAM_000203							ABD_000210					
N29.HOG0000032	OG0000009	n3																			AAM_000225							ABD_000240					
N29.HOG0000033	OG0000009	n28																			AAM_000226							ABD_000241					
N29.HOG0000034	OG0000010	n30																			AAM_000180							ABD_000182					
N29.HOG0000035	OG0000011	n1																										ABD_000184					
N29.HOG0000036	OG0000011	n45																			AAM_000181												
N29.HOG0000037	OG0000012	n3																			AAM_000239							ABD_000251					
N29.HOG0000038	OG0000012	n33																										ABD_000252					
N29.HOG0000039	OG0000012	n35																			AAM_000240							ABD_000253					
N29.HOG0000040	OG0000013	n3																			AAM_000185							ABD_000190					
N29.HOG0000041	OG0000014	n15																			AAM_000235							ABD_000248					
N29.HOG0000042	OG0000014	n31																			AAM_000234							ABD_000247					
N29.HOG0000043	OG0000015	n7																			AAM_000199							ABD_000205					
N29.HOG0000044	OG0000015	n24																										ABD_000204					
N29.HOG0000045	OG0000015	n25																										ABD_000206					
N29.HOG0000046	OG0000016	n3																			AAM_000217							ABD_000233					
N29.HOG0000047	OG0000016	n23																			AAM_000218							ABD_000234					
N29.HOG0000048	OG0000016	n27																			AAM_000219							ABD_000235					
N29.HOG0000049	OG0000017	n14																			AAM_000228							ABD_000242					
N29.HOG0000050	OG0000017	n31																			AAM_000229							ABD_000243					
N29.HOG0000051	OG0000018	n2																										ABD_000185					
N29.HOG0000052	OG0000018	n27																			AAM_000182							ABD_000186					
N29.HOG0000053	OG0000019	n11																			AAM_000241												
N29.HOG0000054	OG0000019	n20																			AAM_000243							ABD_000254					
N29.HOG0000055	OG0000020	n4																			AAM_000186							ABD_000191					
N29.HOG0000056	OG0000020	n30																										ABD_000192					
N29.HOG0000057	OG0000020	n31																			AAM_000187							ABD_000193					
N29.HOG0000058	OG0000021	n10																			AAM_000224							ABD_000239					
N29.HOG0000059	OG0000021	n19																			AAM_000223							ABD_000238					
N29.HOG0000060	OG0000022	n7																			AAM_000176							ABD_000177					
N29.HOG0000061	OG0000022	n21																										ABD_000176					
N29.HOG0000062	OG0000023	n9																			AAM_000189							ABD_000195					
N29.HOG0000063	OG0000023	n21																			AAM_000188							ABD_000194					
N29.HOG0000064	OG0000024	n6																			AAM_000231												
N29.HOG0000065	OG0000024	n12																			AAM_000232							ABD_000245					
N29.HOG0000066	OG0000025	n19																			AAM_000233							ABD_000246					
N29.HOG0000067	OG0000026	n15																			AAM_000238							ABD_000250					
N29.HOG0000068	OG0000027	n16																			AAM_000200							ABD_000207					
N29.HOG0000069	OG0000028	n16																			AAM_000230							ABD_000244					
N29.HOG0000070	OG0000029	n20																			AAM_000237							ABD_000249					
N29.HOG0000071	OG0000029	n26																			AAM_000236												
N29.HOG0000072	OG0000031	n10																			AAM_000221							ABD_000236					
N29.HOG0000073	OG0000031	n13																			AAM_000220												
N29.HOG0000074	OG0000032	n23																										ABD_000256					
N29.HOG0000075	OG0000032	n25																										ABD_000255					
N29.HOG0000076	OG0000032	n28																			AAM_000244												
N29.HOG0000077	OG0000033	n0																			AAM_000215							ABD_000229					
N29.HOG0000078	OG0000035	n16																			AAM_000222							ABD_000237					
N29.HOG0000079	OG0000036	n0																										ABD_000232					
N29.HOG0000080	OG0000038	n0																			AAM_000198							ABD_000203					
N29.HOG0000081	OG0000040	n0																										ABD_000183					
