HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N18.HOG0000025	OG0000007	n28		ABB_000167																													
N18.HOG0000026	OG0000007	n46																							AAJ_000172					AAX_000155			
N18.HOG0000027	OG0000008	n2		ABB_000166																										AAX_000154			
N18.HOG0000028	OG0000009	n3		ABB_000185																					AAJ_000189					AAX_000171			
N18.HOG0000029	OG0000009	n28		ABB_000186																					AAJ_000190					AAX_000172			
N18.HOG0000030	OG0000010	n2		ABB_000147																					AAJ_000151					AAX_000135			
N18.HOG0000031	OG0000010	n24		ABB_000149, ABB_000148																					AAJ_000152					AAX_000136			
N18.HOG0000032	OG0000011	n5		ABB_000150																					AAJ_000154					AAX_000138			
N18.HOG0000033	OG0000011	n39																												AAX_000137			
N18.HOG0000034	OG0000011	n51																							AAJ_000153								
N18.HOG0000035	OG0000012	n16		ABB_000201																					AAJ_000200					AAX_000183			
N18.HOG0000036	OG0000012	n29		ABB_000199, ABB_000200																					AAJ_000199					AAX_000182			
N18.HOG0000037	OG0000013	n4		ABB_000154																					AAJ_000158					AAX_000143			
N18.HOG0000038	OG0000013	n26		ABB_000155																					AAJ_000159					AAX_000144			
N18.HOG0000039	OG0000014	n15		ABB_000195																					AAJ_000196					AAX_000179			
N18.HOG0000040	OG0000014	n31		ABB_000194																					AAJ_000195					AAX_000178			
N18.HOG0000041	OG0000015	n3		ABB_000163																					AAJ_000168					AAX_000151			
N18.HOG0000042	OG0000015	n22		ABB_000164																					AAJ_000169					AAX_000152			
N18.HOG0000043	OG0000016	n29																							AAJ_000185					AAX_000167			
N18.HOG0000044	OG0000017	n5		ABB_000187																													
N18.HOG0000045	OG0000017	n23		ABB_000188																													
N18.HOG0000046	OG0000017	n24		ABB_000189																													
N18.HOG0000047	OG0000018	n8		ABB_000152																					AAJ_000156					AAX_000140			
N18.HOG0000048	OG0000018	n22		ABB_000151																					AAJ_000155					AAX_000139			
N18.HOG0000049	OG0000019	n15		ABB_000202																					AAJ_000201					AAX_000184			
N18.HOG0000050	OG0000020	n38		ABB_000156																					AAJ_000160					AAX_000145			
N18.HOG0000051	OG0000021	n24		ABB_000184																					AAJ_000188					AAX_000170			
N18.HOG0000052	OG0000022	n8																							AAJ_000145					AAX_000129			
N18.HOG0000053	OG0000023	n7		ABB_000157																					AAJ_000161					AAX_000146			
N18.HOG0000054	OG0000023	n29																							AAJ_000162					AAX_000147			
N18.HOG0000055	OG0000024	n3		ABB_000192																					AAJ_000193					AAX_000176			
N18.HOG0000056	OG0000024	n17		ABB_000191																													
N18.HOG0000057	OG0000025	n11		ABB_000193																					AAJ_000194					AAX_000177			
N18.HOG0000058	OG0000026	n15																							AAJ_000198					AAX_000181			
N18.HOG0000059	OG0000026	n18		ABB_000198																													
N18.HOG0000060	OG0000026	n21		ABB_000197																													
N18.HOG0000061	OG0000027	n23		ABB_000165																					AAJ_000170					AAX_000153			
N18.HOG0000062	OG0000028	n16																												AAX_000175			
N18.HOG0000063	OG0000028	n27																												AAX_000174			
N18.HOG0000064	OG0000028	n32		ABB_000190																					AAJ_000192								
N18.HOG0000065	OG0000029	n15																							AAJ_000197					AAX_000180			
N18.HOG0000066	OG0000029	n25		ABB_000196																													
N18.HOG0000067	OG0000030	n1		ABB_000146																					AAJ_000150					AAX_000134			
N18.HOG0000068	OG0000030	n21		ABB_000145																					AAJ_000149					AAX_000133			
N18.HOG0000069	OG0000031	n1																							AAJ_000186					AAX_000168			
N18.HOG0000070	OG0000031	n20		ABB_000181																													
N18.HOG0000071	OG0000032	n16		ABB_000203																													
N18.HOG0000072	OG0000032	n18																							AAJ_000202								
N18.HOG0000073	OG0000033	n0		ABB_000179																					AAJ_000182					AAX_000164			
N18.HOG0000074	OG0000034	n13		ABB_000178																					AAJ_000181					AAX_000163			
N18.HOG0000075	OG0000035	n10		ABB_000183																													
N18.HOG0000076	OG0000035	n12		ABB_000182																													
N18.HOG0000077	OG0000035	n19																												AAX_000169			
N18.HOG0000078	OG0000036	n0																							AAJ_000184					AAX_000166			
N18.HOG0000079	OG0000039	n0		ABB_000142																													
