HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N27.HOG0000044	OG0000014	n15								ABA_000213												AAP_000210											
N27.HOG0000045	OG0000014	n31								ABA_000212												AAP_000209											
N27.HOG0000046	OG0000015	n22								ABA_000179																							
N27.HOG0000047	OG0000015	n44																				AAP_000178											
N27.HOG0000048	OG0000016	n2								ABA_000201																							
N27.HOG0000049	OG0000017	n8								ABA_000206																							
N27.HOG0000050	OG0000017	n24								ABA_000207												AAP_000204											
N27.HOG0000051	OG0000018	n8								ABA_000166												AAP_000167											
N27.HOG0000052	OG0000018	n22								ABA_000165																							
N27.HOG0000053	OG0000019	n6								ABA_000218																							
N27.HOG0000054	OG0000019	n15								ABA_000219												AAP_000215											
N27.HOG0000055	OG0000020	n8								ABA_000170												AAP_000173											
N27.HOG0000056	OG0000021	n9								ABA_000202												AAP_000200											
N27.HOG0000057	OG0000021	n16								ABA_000203												AAP_000202											
N27.HOG0000058	OG0000022	n8								ABA_000156												AAP_000157											
N27.HOG0000059	OG0000023	n7								ABA_000171												AAP_000174											
N27.HOG0000060	OG0000024	n3								ABA_000210												AAP_000207											
N27.HOG0000061	OG0000025	n11								ABA_000211												AAP_000208											
N27.HOG0000062	OG0000026	n21								ABA_000215												AAP_000212											
N27.HOG0000063	OG0000027	n14								ABA_000181												AAP_000180											
N27.HOG0000064	OG0000027	n17								ABA_000180												AAP_000179											
N27.HOG0000065	OG0000028	n16								ABA_000209												AAP_000206											
N27.HOG0000066	OG0000028	n27								ABA_000208												AAP_000205											
N27.HOG0000067	OG0000029	n20								ABA_000214												AAP_000211											
N27.HOG0000068	OG0000032	n16								ABA_000221																							
N27.HOG0000069	OG0000032	n18								ABA_000220																							
N27.HOG0000070	OG0000032	n20																				AAP_000216											
N27.HOG0000071	OG0000033	n0								ABA_000198												AAP_000196											
N27.HOG0000072	OG0000034	n13																				AAP_000195											
N27.HOG0000073	OG0000037	n0								ABA_000182																							
