HOG	OG	Gene Tree Parent Clade	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1	t11_fai-gene-cluster-1	t12_fai-gene-cluster-1	t13_fai-gene-cluster-1	t14_fai-gene-cluster-1	t15_fai-gene-cluster-1	t16_fai-gene-cluster-1	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1	t19_fai-gene-cluster-1	t1_fai-gene-cluster-1	t20_fai-gene-cluster-1	t21_fai-gene-cluster-1	t22_fai-gene-cluster-1	t23_fai-gene-cluster-1	t24_fai-gene-cluster-1	t25_fai-gene-cluster-1	t26_fai-gene-cluster-1	t27_fai-gene-cluster-1	t28_fai-gene-cluster-1	t29_fai-gene-cluster-1	t2_fai-gene-cluster-1	t30_fai-gene-cluster-1	t3_fai-gene-cluster-1	t4_fai-gene-cluster-1	t5_fai-gene-cluster-1	t6_fai-gene-cluster-1	t7_fai-gene-cluster-1	t8_fai-gene-cluster-1	t9_fai-gene-cluster-1
N17.HOG0000049	OG0000009	n3								ABA_000204						AAS_000198	AAU_000205				AAM_000225	AAP_000203		ABE_000206			AAK_000199	ABD_000240	AAW_000201				
N17.HOG0000050	OG0000009	n28								ABA_000205						AAS_000199	AAU_000206				AAM_000226			ABE_000207			AAK_000200	ABD_000241	AAW_000202				
N17.HOG0000051	OG0000010	n2															AAU_000162				AAM_000180			ABE_000164			AAK_000159	ABD_000182					
N17.HOG0000052	OG0000010	n24								ABA_000161						AAS_000155	AAU_000163					AAP_000163											
N17.HOG0000053	OG0000011	n5								ABA_000164						AAS_000157	AAU_000165					AAP_000166		ABE_000165			AAK_000160	ABD_000184	AAW_000160				
N17.HOG0000054	OG0000011	n37								ABA_000162												AAP_000165											
N17.HOG0000055	OG0000011	n39														AAS_000156						AAP_000164											
N17.HOG0000056	OG0000011	n46								ABA_000163							AAU_000164				AAM_000181												
N17.HOG0000057	OG0000012	n12																						ABE_000217					AAW_000213				
N17.HOG0000058	OG0000012	n14																										ABD_000252					
N17.HOG0000059	OG0000012	n16																			AAM_000240							ABD_000253					
N17.HOG0000060	OG0000012	n28								ABA_000217												AAP_000214											
N17.HOG0000061	OG0000012	n29								ABA_000216						AAS_000207	AAU_000216				AAM_000239	AAP_000213		ABE_000216			AAK_000210	ABD_000251	AAW_000212				
N17.HOG0000062	OG0000013	n2																						ABE_000169					AAW_000164				
N17.HOG0000063	OG0000013	n4								ABA_000168						AAS_000161						AAP_000171											
N17.HOG0000064	OG0000013	n26								ABA_000169						AAS_000162	AAU_000170				AAM_000185	AAP_000172					AAK_000164	ABD_000190					
N17.HOG0000065	OG0000014	n15								ABA_000213						AAS_000204	AAU_000213				AAM_000235	AAP_000210		ABE_000213			AAK_000207	ABD_000248	AAW_000208				
N17.HOG0000066	OG0000014	n31								ABA_000212						AAS_000203	AAU_000212				AAM_000234	AAP_000209		ABE_000212			AAK_000206	ABD_000247	AAW_000207				
N17.HOG0000067	OG0000015	n3															AAU_000180				AAM_000199			ABE_000182			AAK_000173	ABD_000205	AAW_000176				
N17.HOG0000068	OG0000015	n22								ABA_000179							AAU_000181, AAU_000182							ABE_000181, ABE_000183			AAK_000174, AAK_000175	ABD_000204, ABD_000206	AAW_000177				
N17.HOG0000069	OG0000015	n44														AAS_000173						AAP_000178											
N17.HOG0000070	OG0000016	n2								ABA_000201						AAS_000195	AAU_000200										AAK_000193						
N17.HOG0000071	OG0000016	n11																			AAM_000219			ABE_000200				ABD_000235	AAW_000195				
N17.HOG0000072	OG0000016	n25																			AAM_000218							ABD_000234					
N17.HOG0000073	OG0000016	n29																			AAM_000217			ABE_000199				ABD_000233					
N17.HOG0000074	OG0000017	n8								ABA_000206											AAM_000228							ABD_000242					
N17.HOG0000075	OG0000017	n21																			AAM_000229							ABD_000243					
N17.HOG0000076	OG0000017	n24								ABA_000207							AAU_000208					AAP_000204					AAK_000202						
N17.HOG0000077	OG0000017	n42															AAU_000207										AAK_000201						
N17.HOG0000078	OG0000018	n8								ABA_000166											AAM_000182	AAP_000167						ABD_000186					
N17.HOG0000079	OG0000018	n22								ABA_000165							AAU_000166							ABE_000166			AAK_000161	ABD_000185	AAW_000161				
N17.HOG0000080	OG0000019	n6								ABA_000218							AAU_000217				AAM_000241			ABE_000218			AAK_000211		AAW_000214				
N17.HOG0000081	OG0000019	n15								ABA_000219						AAS_000208	AAU_000218				AAM_000243	AAP_000215		ABE_000219			AAK_000212	ABD_000254	AAW_000215				
N17.HOG0000082	OG0000020	n8								ABA_000170						AAS_000163					AAM_000186	AAP_000173		ABE_000170			AAK_000165	ABD_000191	AAW_000165				
N17.HOG0000083	OG0000020	n20															AAU_000171, AAU_000172				AAM_000187			ABE_000171			AAK_000166	ABD_000192, ABD_000193	AAW_000166				
N17.HOG0000084	OG0000021	n9								ABA_000202						AAS_000196						AAP_000200											
N17.HOG0000085	OG0000021	n16								ABA_000203						AAS_000197	AAU_000204				AAM_000224	AAP_000202		ABE_000205			AAK_000198	ABD_000239	AAW_000200				
N17.HOG0000086	OG0000021	n24															AAU_000203				AAM_000223			ABE_000204			AAK_000197	ABD_000238	AAW_000199				
N17.HOG0000087	OG0000022	n2																										ABD_000176	AAW_000154				
N17.HOG0000088	OG0000022	n8								ABA_000156						AAS_000149	AAU_000158				AAM_000176	AAP_000157		ABE_000160			AAK_000155	ABD_000177	AAW_000155				
N17.HOG0000089	OG0000023	n7								ABA_000171						AAS_000164	AAU_000173				AAM_000188	AAP_000174		ABE_000172			AAK_000167	ABD_000194	AAW_000167				
N17.HOG0000090	OG0000023	n29																			AAM_000189							ABD_000195					
N17.HOG0000091	OG0000024	n3								ABA_000210							AAU_000210				AAM_000232	AAP_000207		ABE_000210			AAK_000204	ABD_000245	AAW_000205				
N17.HOG0000092	OG0000024	n17														AAS_000201					AAM_000231												
N17.HOG0000093	OG0000025	n11								ABA_000211						AAS_000202	AAU_000211				AAM_000233	AAP_000208		ABE_000211			AAK_000205	ABD_000246	AAW_000206				
N17.HOG0000094	OG0000026	n18																											AAW_000211				
N17.HOG0000095	OG0000026	n21								ABA_000215						AAS_000206	AAU_000215				AAM_000238	AAP_000212		ABE_000215			AAK_000209	ABD_000250	AAW_000210				
N17.HOG0000096	OG0000027	n8															AAU_000183				AAM_000200			ABE_000184			AAK_000176	ABD_000207	AAW_000178				
N17.HOG0000097	OG0000027	n14								ABA_000181						AAS_000175						AAP_000180											
N17.HOG0000098	OG0000027	n17								ABA_000180						AAS_000174						AAP_000179											
N17.HOG0000099	OG0000028	n16								ABA_000209							AAU_000209				AAM_000230	AAP_000206		ABE_000209			AAK_000203	ABD_000244	AAW_000204				
N17.HOG0000100	OG0000028	n27								ABA_000208												AAP_000205											
N17.HOG0000101	OG0000029	n20								ABA_000214						AAS_000205					AAM_000236	AAP_000211											
N17.HOG0000102	OG0000029	n25															AAU_000214				AAM_000237							ABD_000249					
N17.HOG0000103	OG0000029	n31																						ABE_000214			AAK_000208		AAW_000209				
N17.HOG0000104	OG0000030	n1														AAS_000154	AAU_000161										AAK_000158						
N17.HOG0000105	OG0000030	n21														AAS_000153																	
N17.HOG0000106	OG0000031	n3															AAU_000201				AAM_000221			ABE_000202			AAK_000195	ABD_000236	AAW_000197				
N17.HOG0000107	OG0000031	n20																			AAM_000220			ABE_000201					AAW_000196				
N17.HOG0000108	OG0000032	n10															AAU_000219				AAM_000244			ABE_000220			AAK_000213		AAW_000216				
N17.HOG0000109	OG0000032	n16								ABA_000221																		ABD_000256					
N17.HOG0000110	OG0000032	n18								ABA_000220																		ABD_000255					
N17.HOG0000111	OG0000032	n20														AAS_000209						AAP_000216											
N17.HOG0000112	OG0000033	n0								ABA_000198						AAS_000192	AAU_000198				AAM_000215	AAP_000196		ABE_000197			AAK_000191	ABD_000229	AAW_000193				
N17.HOG0000113	OG0000034	n13														AAS_000191						AAP_000195							AAW_000192				
N17.HOG0000114	OG0000035	n12															AAU_000202				AAM_000222			ABE_000203			AAK_000196	ABD_000237					
N17.HOG0000115	OG0000036	n0																										ABD_000232					
N17.HOG0000116	OG0000037	n0								ABA_000182						AAS_000176	AAU_000184												AAW_000179				
N17.HOG0000117	OG0000038	n0															AAU_000179				AAM_000198			ABE_000180				ABD_000203	AAW_000175				
N17.HOG0000118	OG0000040	n0																										ABD_000183					
